rowNumber," name"," position"," height"," foot"
395," Richie Foran"," A"," 185"," Left"
396," Christian Bermúdez"," M"," 160"," Right"
397," Ricardo Fuller"," A"," 191"," Right"
398," Mathias Kouo-Doumbé"," D"," 185"," Right"
399," Rod Fanni"," D"," 186"," Right"
400," Eric Chelle"," D"," 179"," Left"
401," David Martin"," GK"," 188"," Right"
402," Bertrand Laquait"," GK"," 185"," Right"
403," Olivier Sorin"," GK"," 189"," Right"
404," Benjamin Nicaise"," M"," 183"," Right"
405," Youssouf Hadji"," A"," 183"," Right"
406," Fabrice Abriel"," M"," 176"," Right"
407," Paul Morgan"," D"," 183"," Right"
408," François Pantxi Sirieix"," M"," 180"," Right"
409," Nicolas Marin"," A"," 171"," Right"
410," Cédric Carrasso"," GK"," 187"," Right"
411," Peter Gain"," M"," 175"," Left"
412," Nikolče Noveski"," D"," 190"," Left"
413," Marco Kurth"," M"," 178"," Right"
414," Pascal Berenguer"," M"," 175"," Right"
415," Cédric Kanté"," D"," 181"," Left"
416," Richard Logan"," A"," 185"," Right"
417," Grégory Malicki"," GK"," 188"," Left"
418," Sébastien Roudet"," M"," 180"," Left"
419," Geoffrey Dernis"," A"," 171"," Left"
420," Damien Perquis"," GK"," 184"," Right"
421," Jérémie Janot"," GK"," 176"," Left"
422," Julien Sablé"," M"," 181"," Right"
423," Justin Richards"," A"," 183"," Right"
424," Nathan Ellington"," A"," 178"," Right"
425," Oscar Ewolo"," M"," 171"," Right"
426," Olivier Blondel"," GK"," 187"," Right"
427," Nicolas Douchez"," GK"," 186"," Right"
428," Mathieu Béda"," D"," 186"," Left"
429," Laurent Batlles"," M"," 174"," Right"
430," Hervé Bugnet"," A"," 174"," Right"
431," Daniel Göhlert"," D"," 186"," Right"
432," Eric Hassli"," A"," 193"," Right"
433," Ibrahima Sonko"," D"," 191"," Right"
434," Amor Kehiha"," D"," 180"," Right"
435," Nassim Akrour"," A"," 181"," Right"
436," David Ducourtioux"," D"," 177"," Right"
437," Malte Metzelder"," M"," 195"," Right"
438," Gledson"," D"," 190"," Right"
439," Paolo Cannavaro"," D"," 185"," Right"
440," Lee Johnson"," M"," 168"," Right"
441," Adam Lockwood"," D"," 183"," Right"
442," Paulo César"," A"," 175"," Right"
443," Gianluigi Buffon"," GK"," 191"," Right"
444," Sylvain Marchal"," D"," 184"," Right"
445," Anthony Tonkin"," D"," 182"," Left"
446," Chris Weale"," GK"," 188"," Left"
447," Thomas Broich"," A"," 182"," Right"
448," Gianpaolo Bellini"," D"," 180"," Right"
449," Bernt Evens"," D"," 192"," Left"
450," Andy Warrington"," GK"," 191"," Right"
451," Mark Arber"," D"," 185"," Left"
452," Lee Miller"," A"," 188"," Right"
453," Mark Gower"," M"," 180"," Right"
454," Ian Henderson"," A"," 179"," Right"
455," Paul Hayes"," A"," 183"," Right"
456," Andy Lonergan"," GK"," 192"," Left"
457," Kolo Touré"," D"," 183"," Right"
458," Kevin Davies"," A"," 183"," Right"
459," Tyrone Mears"," D"," 180"," Right"
460," Robert Earnshaw"," A"," 173"," Right"
461," Stephen Purches"," D"," 180"," Left"
462," Stefan Wessels"," GK"," 190"," Right"
463," Leon Johnson"," D"," 183"," Left"
464," Habib Beye"," D"," 182"," Right"
465," Jermaine Easter"," A"," 175"," Right"
466," Chris Greenacre"," A"," 180"," Right"
467," Lee Williamson"," M"," 178"," Right"
468," Filippo Inzaghi"," A"," 181"," Right"
469," Brad Friedel"," GK"," 188"," Right"
470," Richie Wellens"," M"," 175"," Right"
471," Danny Coid"," D"," 180"," Right"
472," Matthew Blinkhorn"," A"," 183"," Right"
473," Thomas Kleine"," D"," 191"," Right"
474," Dean Hammond"," M"," 183"," Right"
475," Simon Lappin"," M"," 180"," Left"
476," Rémi Mareval"," D"," 182"," Left"
477," Hugh Murray"," M"," 178"," Right"
478," Cristiano Lupatelli"," GK"," 189"," Left"
479," Paulo Ferreira"," D"," 183"," Right"
480," Francesco Lodi"," M"," 183"," Left"
481," Simone Tiribocchi"," A"," 178"," Right"
482," Antonio Di Natale"," A"," 170"," Right"
483," Keith Southern"," M"," 178"," Right"
484," Jean Makoun"," M"," 173"," Right"
485," Benjamin Gavanon"," M"," 180"," Right"
486," Laurent Pionnier"," GK"," 184"," Right"
487," Copa"," GK"," 180"," Right"
488," Michael Dawson"," D"," 188"," Right"
489," Craig Westcarr"," A"," 180"," Right"
490," Martin Bergvold"," M"," 184"," Left"
491," Scott Shearer"," GK"," 191"," Right"
492," Pepe"," D"," 188"," Right"
493," Christoph Dabrowski"," M"," 195"," Right"
494," Fabio Coltorti"," GK"," 197"," Right"
495," Massimo Donati"," M"," 186"," Right"
496," Simon Rolfes"," M"," 191"," Left"
497," Alexander Walke"," GK"," 189"," Right"
498," Alexander Meier"," M"," 196"," Right"
499," Christian Schulz"," D"," 185"," Left"
500," Nelson Haedo Valdez"," A"," 178"," Right"
501," Ben Futcher"," D"," 200"," Left"
502," Jamie Day"," M"," 176"," Left"
503," Mikkel Thygesen"," M"," 184"," Right"
504," Brandão"," A"," 189"," Left"
505," Anatoliy Tymoshchuk"," M"," 181"," Right"
506," Phil Smith"," GK"," 185"," Right"
507," Toifilou Maoulida"," A"," 184"," Right"
508," Christian Abbiati"," GK"," 191"," Right"
509," Ilčo Naumoski"," A"," 191"," Right"
510," Daniel Wolf"," M"," 184"," Left"
511," René Adler"," GK"," 190"," Right"
512," Michael Rensing"," GK"," 190"," Right"
513," Philipp Lahm"," D"," 170"," Right"
514," Christian Lell"," D"," 183"," Right"
515," Bastian Schweinsteiger"," M"," 183"," Right"
516," Piotr Trochowski"," M"," 169"," Right"
517," Daniel Ziebig"," D"," 183"," Left"
518," Lukas Kruse"," GK"," 185"," Right"
519," Mahir Sağlık"," A"," 178"," Left"
520," Oliver Kirch"," M"," 183"," Right"
521," Jörg Hahnel"," GK"," 186"," Right"
522," Ronny König"," A"," 190"," Left"
523," Marjan Petkovic"," GK"," 186"," Right"
524," Oliver Barth"," D"," 188"," Left"
525," Lee Beevers"," D"," 186"," Right"
526," Peter Sweeney"," M"," 183"," Left"
527," Marco Donadel"," M"," 179"," Right"
528," Kwame Quansah"," M"," 172"," Right"
529," Steven Whittaker"," D"," 185"," Right"
530," Ryan Stevenson"," M"," 180"," Right"
531," Seydou Keita"," M"," 183"," Left"
532," Logan Bailly"," GK"," 189"," Left"
533," Owen Hargreaves"," M"," 180"," Right"
534," Birger Maertens"," D"," 182"," Right"
535," Kevin Roelandts"," M"," 185"," Right"
536," Jimmy Hempte"," D"," 180"," Left"
537," Philipp Heerwagen"," GK"," 193"," Right"
538," Maximillian Nicu"," M"," 185"," Right"
539," Benjamin De Ceulaer"," A"," 175"," Right"
540," Bram Verbist"," GK"," 182"," Right"
541," Arouna Koné"," A"," 182"," Right"
542," Stefan Lexa"," M"," 180"," Right"
543," Markus Heikkinen"," M"," 185"," Left"
544," Sanharib Malki"," A"," 180"," Right"
545," Antoni Łukasiewicz"," M"," 188"," Right"
546," Jermaine Pennant"," M"," 175"," Right"
547," Mancini"," A"," 183"," Right"
548," Sascha Rösler"," A"," 185"," Left"
549," Marco Borriello"," A"," 185"," Left"
550," Christian Obodo"," M"," 176"," Right"
551," Michael Agazzi"," GK"," 189"," Right"
552," Stefano Lucchini"," D"," 186"," Right"
553," Hugo Campagnaro"," D"," 181"," Right"
554," Giandomenico Mesto"," M"," 181"," Right"
555," Andrea Mantovani"," D"," 185"," Left"
556," Alberto Maria Fontana"," GK"," 188"," Right"
557," Giuseppe Gemiti"," D"," 176"," Left"
558," Sulley Muntari"," M"," 179"," Left"
559," Franco Semioli"," M"," 178"," Right"
560," Mario Santana"," M"," 178"," Right"
561," Francesco Totti"," A"," 180"," Right"
562," John Arne Riise"," D"," 185"," Left"
563," Mario Haas"," A"," 183"," Right"
564," Franck Queudrue"," D"," 183"," Left"
565," Hasan Kabze"," A"," 185"," Right"
566," Mehmet Topal"," M"," 186"," Right"
567," Xavier Margairaz"," M"," 185"," Left"
568," Nicolas Gillet"," D"," 188"," Left"
569," Altin Lala"," M"," 172"," Right"
570," Felipe"," M"," 175"," Left"
571," Mohamed Adama Sarr"," D"," 186"," Right"
572," Filip Daems"," D"," 181"," Left"
573," Stephan Andersen"," GK"," 190"," Right"
574," Clarence Seedorf"," M"," 177"," Right"
575," Umut Bulut"," A"," 184"," Right"
576," André Lenz"," GK"," 191"," Right"
577," Marcel Schied"," A"," 173"," Right"
578," Peguy Luyindula"," A"," 178"," Right"
579," Jan Schlaudraff"," M"," 180"," Right"
580," Arne Friedrich"," D"," 185"," Right"
581," Ian Bennett"," GK"," 183"," Right"
582," Petter Hansson"," D"," 186"," Right"
583," Mimoun Azaouagh"," M"," 175"," Right"
584," Milorad Peković"," M"," 189"," Left"
585," Sebastien Frey"," GK"," 189"," Right"
586," Henri Sillanpää"," GK"," 189"," Right"
587," Emanuel Pogatetz"," D"," 189"," Left"
588," Paul McShane"," D"," 183"," Right"
589," Skerdilaid Curri"," M"," 166"," Right"
590," Puyol"," D"," 178"," Right"
591," Morán"," M"," 175"," Right"
592," Orbaiz"," M"," 179"," Right"
593," Leon Andreasen"," M"," 185"," Right"
594," Cristiano Zanetti"," M"," 180"," Right"
595," Casper Ankergren"," GK"," 190"," Right"
596," Bruno Amaro"," M"," 181"," Right"
597," Wes Brown"," D"," 185"," Right"
598," Rasmus Würtz"," M"," 179"," Right"
599," Timo Achenbach"," D"," 185"," Left"
600," Jesper Hansen"," GK"," 188"," Right"
601," Delroy Facey"," A"," 183"," Right"
602," Kieron Dyer"," M"," 173"," Right"
603," Alan Maybury"," D"," 180"," Right"
604," Grant Brebner"," M"," 181"," Right"
605," David Connolly"," A"," 175"," Right"
606," Gunnar Heiðar Þorvaldsson"," A"," 182"," Right"
607," Mingo"," D"," 177"," Left"
608," Juanito"," D"," 182"," Right"
609," Varela"," D"," 180"," Right"
610," Capi"," M"," 182"," Right"
611," Doblas"," GK"," 184"," Right"
612," Melli"," D"," 181"," Right"
613," Maldonado"," A"," 177"," Right"
614," Marcos Assunção"," M"," 178"," Right"
615," Lewis Hunt"," D"," 180"," Right"
616," Izale McLeod"," A"," 183"," Left"
617," Daniel Örlund"," GK"," 194"," Right"
