rowNumber,Equipe,Classement FIFA,No.,Joueur,Position,Date de naissance,Age,Selections,Championnat,Club
23,Cameroun,56,16,Charles Itandje,1. Gardien,2 novembre 1982,31,9,Turquie,"Konyaspor   "
24,Cameroun,56,1,Loec Feudjou,1. Gardien,14 avril 1992,22,2,Cameroun,"Coton Sport  "
25,Cameroun,56,23,Sammy N'Djock,1. Gardien,25 février 1990,24,3,Turquie,"Fethiyespor   "
26,Cameroun,56,22,Allan Nyom,2. Defenseur,10 mai 1988,26,10,Espagne,"Granada   "
27,Cameroun,56,14,Aurelien Chedjou,2. Defenseur,20 juin 1985,28,31,Turquie,"Galatasaray   "
28,Cameroun,56,2,Benoît Assou-Ekotto,2. Defenseur,24 mars 1984,30,22,Angleterre,"Queens Park Rangers "
29,Cameroun,56,4,Cedric Djeugoue,2. Defenseur,28 août 1992,21,3,Cameroun,"Coton Sport  "
30,Cameroun,56,5,Dany Nounkeu,2. Defenseur,11 avril 1986,28,16,Turquie,"Besiktas   "
31,Cameroun,56,12,Henri Bedimo,2. Defenseur,4 juin 1984,30,31,France,"Lyon   "
32,Cameroun,56,3,Nicolas N'Koulou,2. Defenseur,27 mars 1990,24,48,France,"Marseille   "
33,Cameroun,56,6,Alex Song,3. Milieu,9 septembre 1987,26,47,Espagne,"Barcelona   "
34,Cameroun,56,20,Edgar Salli,3. Milieu,17 août 1992,21,9,France,"Lens   "
35,Cameroun,56,18,Eyong Enoh,3. Milieu,23 mars 1986,28,38,Turquie,"Antalyaspor   "
36,Cameroun,56,11,Jean Makoun,3. Milieu,29 mai 1983,31,66,France,"Rennes   "
37,Cameroun,56,21,Joel Matip,3. Milieu,8 août 1991,22,23,Allemagne,"Schalke 4  "
38,Cameroun,56,7,Landry N'Guemo,3. Milieu,28 novembre 1985,28,40,France,"Bordeaux   "
39,Cameroun,56,17,Stephane Mbia,3. Milieu,20 mai 1986,28,49,Espagne,"Sevilla   "
40,Cameroun,56,8,Benjamin Moukandjo,4. Attaquant,12 novembre 1988,25,17,France,"Nancy   "
41,Cameroun,56,19,Fabrice Olinga,4. Attaquant,12 mai 1996,18,8,Belgique,"Zulte Waregem  "
42,Cameroun,56,13,Maxim Choupo-Moting,4. Attaquant,23 mars 1989,25,26,Allemagne,"Mainz 5  "
43,Cameroun,56,15,Pierre Webo,4. Attaquant,20 janvier 1982,32,56,Turquie,"Fenerbahce   "
44,Cameroun,56,9,Samuel Eto'o (c),4. Attaquant,10 mars 1981,33,117,Angleterre,"Chelsea   "
45,Cameroun,56,10,Vincent Aboubakar,4. Attaquant,22 janvier 1992,22,24,France,"Lorient   "
46,Croatie,18,23,Danijel Subasic,1. Gardien,27 octobre 1984,29,6,France,"Monaco   "
47,Croatie,18,12,Oliver Zelenika,1. Gardien,14 mai 1993,21,0,Croatie,"Lokomotiva   "
48,Croatie,18,1,Stipe Pletikosa,1. Gardien,8 janvier 1979,35,111,Russie,"Rostov   "
49,Croatie,18,3,Danijel Pranjic,2. Defenseur,2 décembre 1981,32,50,Grece,"Panathinaikos   "
50,Croatie,18,11,Darijo Srna (c),2. Defenseur,1 mai 1982,32,112,Ukraine,"Shakhtar Donetsk  "
51,Croatie,18,6,Dejan Lovren,2. Defenseur,5 juillet 1989,24,25,Angleterre,"Southampton   "
52,Croatie,18,21,Domagoj Vida,2. Defenseur,29 avril 1989,25,23,Ukraine,"Dynamo Kyiv  "
53,Croatie,18,13,Gordon Schildenfeld,2. Defenseur,18 mars 1985,29,21,Grece,"Panathinaikos   "
54,Croatie,18,2,Sime Vrsaljko,2. Defenseur,10 janvier 1992,22,7,Italie,"Genoa   "
55,Croatie,18,5,Vedran Corluka,2. Defenseur,5 février 1986,28,72,Russie,"Lokomotiv Moscow  "
56,Croatie,18,15,Milan Badelj,3. Milieu,25 février 1989,25,9,Allemagne,"Hamburger SV  "
57,Croatie,18,4,Ivan Perisic,3. Milieu,2 février 1989,25,29,Allemagne,"VfL Wolfsburg  "
58,Croatie,18,7,Ivan Rakitic,3. Milieu,10 mars 1988,26,62,Espagne,"Sevilla   "
59,Croatie,18,10,Luka Modric,3. Milieu,9 septembre 1985,28,75,Espagne,"Real Madrid  "
60,Croatie,18,14,Marcelo Brozovic,3. Milieu,16 octobre 1992,21,1,Croatie,"Dinamo Zagreb  "
61,Croatie,18,20,Mateo Kovacic,3. Milieu,6 mai 1994,20,10,Italie,"Internazionale   "
62,Croatie,18,8,Ognjen Vukojevic,3. Milieu,20 décembre 1983,30,55,Ukraine,"Dynamo Kyiv  "
63,Croatie,18,19,Sammir,3. Milieu,23 avril 1987,27,6,Espagne,"Getafe   "
64,Croatie,18,16,Ante Rebic,4. Attaquant,21 septembre 1993,20,5,Italie,"Fiorentina   "
65,Croatie,18,22,Eduardo,4. Attaquant,25 février 1983,31,63,Ukraine,"Shakhtar Donetsk  "
66,Croatie,18,18,Ivica Olic,4. Attaquant,14 septembre 1979,34,92,Allemagne,"VfL Wolfsburg  "
67,Croatie,18,17,Mario Mandzukic,4. Attaquant,21 mai 1986,28,50,Allemagne,"Bayern Munich  "
68,Croatie,18,9,Nikica Jelavic,4. Attaquant,27 août 1985,28,33,Angleterre,"Hull City  "
69,Mexique,20,12,Alfredo Talavera,1. Gardien,18 septembre 1982,31,14,Mexique,"Toluca   "
70,Mexique,20,13,Guillermo Ochoa,1. Gardien,13 juillet 1985,28,59,France,"Ajaccio   "
71,Mexique,20,1,Jose de Jesus Corona,1. Gardien,26 janvier 1981,33,34,Mexique,"Cruz Azul  "
72,Mexique,20,18,Andres Guardado,2. Defenseur,28 septembre 1986,27,104,Allemagne,"Bayer Leverkusen  "
73,Mexique,20,3,Carlos Salcido,2. Defenseur,2 avril 1980,34,122,Mexique,"UANL   "
74,Mexique,20,5,Diego Reyes,2. Defenseur,19 septembre 1992,21,14,Portugal,"Porto   "
75,Mexique,20,2,Francisco Javier Rodriguez,2. Defenseur,20 octobre 1981,32,95,Mexique,"America   "
76,Mexique,20,15,Hector Moreno,2. Defenseur,17 janvier 1988,26,53,Espagne,"Espanyol   "
77,Mexique,20,16,Miguel Angel Ponce,2. Defenseur,12 avril 1989,25,8,Mexique,"Toluca   "
78,Mexique,20,7,Miguel Layun,2. Defenseur,25 juin 1988,25,15,Mexique,"America   "
79,Mexique,20,22,Paul Aguilar,2. Defenseur,6 mars 1986,28,30,Mexique,"America   "
80,Mexique,20,4,Rafael Marquez (c),2. Defenseur,13 février 1979,35,120,Mexique,"Leon   "
81,Mexique,20,21,Carlos Pena,3. Milieu,29 mars 1990,24,16,Mexique,"Leon   "
82,Mexique,20,6,Hector Herrera,3. Milieu,19 avril 1990,24,13,Portugal,"Porto   "
83,Mexique,20,17,Isaac Brizuela,3. Milieu,28 août 1990,23,7,Mexique,"Toluca   "
84,Mexique,20,20,Javier Aquino,3. Milieu,11 février 1990,24,22,Espagne,"Villarreal   "
85,Mexique,20,23,Jose Juan Vazquez,3. Milieu,14 mars 1988,26,5,Mexique,"Leon   "
86,Mexique,20,8,Marco Fabian,3. Milieu,21 juillet 1989,24,15,Mexique,"Cruz Azul  "
87,Mexique,20,11,Alan Pulido,4. Attaquant,8 mars 1991,23,6,Mexique,"UANL   "
88,Mexique,20,10,Giovani dos Santos,4. Attaquant,11 mai 1989,25,76,Espagne,"Villarreal   "
89,Mexique,20,14,Javier Hernandez,4. Attaquant,1 juin 1988,26,62,Angleterre,"Manchester United  "
90,Mexique,20,19,Oribe Peralta,4. Attaquant,12 janvier 1984,30,33,Mexique,"Santos Laguna  "
91,Mexique,20,9,Raul Jimenez,4. Attaquant,5 mai 1991,23,25,Mexique,"America   "
92,Australie,62,18,Eugene Galekovic,1. Gardien,12 juin 1981,32,8,Australie,"Adelaide United  "
93,Australie,62,1,Mathew Ryan,1. Gardien,8 avril 1992,22,7,Belgique,"Club Brugge  "
94,Australie,62,12,Mitchell Langerak,1. Gardien,22 août 1988,25,3,Allemagne,"Borussia Dortmund  "
95,Australie,62,22,Alex Wilkinson,2. Defenseur,13 août 1984,29,3,Coree du Sud,"Jeonbuk Hyundai Motors "
96,Australie,62,8,Bailey Wright,2. Defenseur,28 juillet 1992,21,0,Angleterre,"Preston North End "
97,Australie,62,2,Ivan Franjic,2. Defenseur,10 septembre 1987,26,9,Australie,"Brisbane Roar  "
98,Australie,62,3,Jason Davidson,2. Defenseur,29 juin 1991,22,7,Pays-Bas,"Heracles Almelo  "
99,Australie,62,6,Matthew Spiranovic,2. Defenseur,27 juin 1988,25,18,Australie,"Western Sydney Wanderers "
100,Australie,62,19,Ryan McGowan,2. Defenseur,15 août 1989,24,9,Chine,"Shandong Luneng Taishan "
101,Australie,62,10,Ben Halloran,3. Milieu,14 juin 1992,21,2,Allemagne,"Fortuna Düsseldorf  "
102,Australie,62,20,Dario Vidosic,3. Milieu,8 avril 1987,27,23,Suisse,"Sion   "
103,Australie,62,16,James Holland,3. Milieu,15 mai 1989,25,14,Autriche,"Autriche Wien  "
104,Australie,62,14,James Troisi,3. Milieu,3 juillet 1988,25,11,Italie,"Atalanta   "
105,Australie,62,23,Mark Bresciano,3. Milieu,11 février 1980,34,74,Qatar,"Al-Gharafa   "
106,Australie,62,5,Mark Milligan,3. Milieu,4 août 1985,28,29,Australie,"Melbourne Victory  "
107,Australie,62,21,Massimo Luongo,3. Milieu,25 septembre 1992,21,1,Angleterre,"Swindon Town  "
108,Australie,62,17,Matt McKay,3. Milieu,11 janvier 1983,31,47,Australie,"Brisbane Roar  "
109,Australie,62,15,Mile Jedinak (c),3. Milieu,3 août 1984,29,44,Angleterre,"Crystal Palace  "
110,Australie,62,13,Oliver Bozanic,3. Milieu,8 janvier 1989,25,3,Suisse,"Luzern   "
111,Australie,62,11,Tommy Oar,3. Milieu,10 décembre 1991,22,15,Pays-Bas,"Utrecht   "
112,Australie,62,9,Adam Taggart,4. Attaquant,2 juin 1993,21,5,Australie,"Newcastle Jets  "
113,Australie,62,7,Mathew Leckie,4. Attaquant,4 février 1991,23,8,Allemagne,"FSV Frankfurt  "
114,Australie,62,4,Tim Cahill,4. Attaquant,6 décembre 1979,34,69,Etats-Unis,New York Red Bulls
115,Chili,14,1,Claudio Bravo (c),1. Gardien,13 avril 1983,31,79,Espagne,"Real Sociedad  "
116,Chili,14,12,Cristopher Toselli,1. Gardien,22 juin 1988,25,4,Chili,"Universidad Catolica  "
117,Chili,14,23,Johnny Herrera,1. Gardien,9 mai 1981,33,8,Chili,"Universidad de Chili "
118,Chili,14,2,Eugenio Mena,2. Defenseur,18 juillet 1988,25,25,Bresil,"Santos   "
119,Chili,14,17,Gary Medel,2. Defenseur,3 août 1987,26,61,Angleterre,"Cardiff City  "
120,Chili,14,18,Gonzalo Jara,2. Defenseur,29 août 1985,28,65,Angleterre,"Nottingham Forest  "
121,Chili,14,13,Jose Rojas,2. Defenseur,3 juin 1983,31,19,Chili,"Universidad de Chili "
122,Chili,14,3,Miiko Albornoz,2. Defenseur,3 novembre 1990,23,2,Suede,"Malmö FF  "
123,Chili,14,8,Arturo Vidal,3. Milieu,22 mai 1987,27,54,Italie,"Juventus   "
124,Chili,14,6,Carlos Carmona,3. Milieu,21 février 1987,27,44,Italie,"Atalanta   "
125,Chili,14,20,Charles Aranguiz,3. Milieu,17 avril 1989,25,21,Bresil,"Internacional   "
126,Chili,14,14,Fabian Orellana,3. Milieu,27 janvier 1986,28,26,Espagne,"Celta Vigo  "
127,Chili,14,16,Felipe Gutierrez,3. Milieu,8 octobre 1990,23,18,Pays-Bas,"Twente   "
128,Chili,14,5,Francisco Silva,3. Milieu,11 février 1986,28,12,Espagne,"Osasuna   "
129,Chili,14,15,Jean Beausejour,3. Milieu,3 juin 1984,30,59,Angleterre,"Wigan Athletic  "
130,Chili,14,10,Jorge Valdivia,3. Milieu,3 octobre 1983,30,57,Bresil,"Palmeiras   "
131,Chili,14,19,Jose Pedro Fuenzalida,3. Milieu,22 février 1985,29,23,Chili,"Colo-Colo   "
132,Chili,14,21,Marcelo Diaz,3. Milieu,30 décembre 1986,27,21,Suisse,"Basel   "
133,Chili,14,4,Mauricio Isla,3. Milieu,12 juin 1988,25,47,Italie,"Juventus   "
134,Chili,14,7,Alexis Sanchez,4. Attaquant,19 décembre 1988,25,67,Espagne,"Barcelona   "
135,Chili,14,11,Eduardo Vargas,4. Attaquant,20 novembre 1989,24,30,Espagne,"Valencia   "
136,Chili,14,22,Esteban Paredes,4. Attaquant,1 août 1980,33,35,Chili,"Colo-Colo   "
137,Chili,14,9,Mauricio Pinilla,4. Attaquant,4 février 1984,30,27,Italie,"Cagliari   "
138,Espagne,1,12,David de Gea,1. Gardien,7 novembre 1990,23,1,Angleterre,"Manchester United  "
139,Espagne,1,1,Iker Casillas (c),1. Gardien,20 mai 1981,33,154,Espagne,"Real Madrid  "
140,Espagne,1,23,Pepe Reina,1. Gardien,31 août 1982,31,32,Italie,"Napoli   "
141,Espagne,1,22,Cesar Azpilicueta,2. Defenseur,28 août 1989,24,6,Angleterre,"Chelsea   "
142,Espagne,1,3,Gerard Pique,2. Defenseur,2 février 1987,27,60,Espagne,"Barcelona   "
143,Espagne,1,18,Jordi Alba,2. Defenseur,21 mars 1989,25,26,Espagne,"Barcelona   "
144,Espagne,1,5,Juanfran,2. Defenseur,9 janvier 1985,29,8,Espagne,"Atletico Madrid  "
145,Espagne,1,2,Raul Albiol,2. Defenseur,4 septembre 1985,28,46,Italie,"Napoli   "
146,Espagne,1,15,Sergio Ramos,2. Defenseur,30 mars 1986,28,117,Espagne,"Real Madrid  "
147,Espagne,1,6,Andres Iniesta,3. Milieu,11 mai 1984,30,97,Espagne,"Barcelona   "
148,Espagne,1,10,Cesc Fabregas,3. Milieu,4 mai 1987,27,89,Espagne,"Barcelona   "
149,Espagne,1,21,David Silva,3. Milieu,8 janvier 1986,28,80,Angleterre,"Manchester City  "
150,Espagne,1,4,Javi Martinez,3. Milieu,2 septembre 1988,25,17,Allemagne,"Bayern Munich  "
151,Espagne,1,13,Juan Mata,3. Milieu,28 avril 1988,26,33,Angleterre,"Manchester United  "
152,Espagne,1,17,Koke,3. Milieu,8 janvier 1992,22,8,Espagne,"Atletico Madrid  "
153,Espagne,1,20,Santi Cazorla,3. Milieu,13 décembre 1984,29,64,Angleterre,"Arsenal   "
154,Espagne,1,16,Sergio Busquets,3. Milieu,16 juillet 1988,25,65,Espagne,"Barcelona   "
155,Espagne,1,14,Xabi Alonso,3. Milieu,25 novembre 1981,32,111,Espagne,"Real Madrid  "
156,Espagne,1,8,Xavi,3. Milieu,25 janvier 1980,34,132,Espagne,"Barcelona   "
157,Espagne,1,7,David Villa,4. Attaquant,3 décembre 1981,32,96,Espagne,"Atletico Madrid  "
158,Espagne,1,19,Diego Costa,4. Attaquant,7 octobre 1988,25,2,Espagne,"Atletico Madrid  "
159,Espagne,1,9,Fernando Torres,4. Attaquant,20 mars 1984,30,107,Angleterre,"Chelsea   "
160,Espagne,1,11,Pedro,4. Attaquant,28 juillet 1987,26,40,Espagne,"Barcelona   "
161,Pays-Bas,15,1,Jasper Cillessen,1. Gardien,22 avril 1989,25,8,Pays-Bas,"Ajax   "
162,Pays-Bas,15,22,Michel Vorm,1. Gardien,3 octobre 1983,30,14,Angleterre,"Swansea City  "
163,Pays-Bas,15,23,Tim Krul,1. Gardien,3 avril 1988,26,5,Angleterre,"Newcastle United  "
164,Pays-Bas,15,4,Bruno Martins Indi,2. Defenseur,8 février 1992,22,16,Pays-Bas,"Feyenoord   "
165,Pays-Bas,15,5,Daley Blind,2. Defenseur,9 mars 1990,24,12,Pays-Bas,"Ajax   "
166,Pays-Bas,15,7,Daryl Janmaat,2. Defenseur,22 juillet 1989,24,16,Pays-Bas,"Feyenoord   "
167,Pays-Bas,15,13,Joel Veltman,2. Defenseur,15 janvier 1992,22,2,Pays-Bas,"Ajax   "
168,Pays-Bas,15,12,Paul Verhaegh,2. Defenseur,1 septembre 1983,30,2,Allemagne,"Augsburg   "
169,Pays-Bas,15,2,Ron Vlaar,2. Defenseur,16 février 1985,29,24,Angleterre,"Aston Villa  "
170,Pays-Bas,15,3,Stefan de Vrij,2. Defenseur,5 février 1992,22,12,Pays-Bas,"Feyenoord   "
171,Pays-Bas,15,14,Terence Kongolo,2. Defenseur,14 février 1994,20,1,Pays-Bas,"Feyenoord   "
172,Pays-Bas,15,11,Arjen Robben,3. Milieu,23 janvier 1984,30,75,Allemagne,"Bayern Munich  "
173,Pays-Bas,15,20,Georginio Wijnaldum,3. Milieu,11 novembre 1990,23,5,Pays-Bas,"PSV   "
174,Pays-Bas,15,6,Jonathan de Guzman,3. Milieu,13 septembre 1987,26,10,Angleterre,"Swansea City  "
175,Pays-Bas,15,16,Jordy Clasie,3. Milieu,27 juin 1991,22,8,Pays-Bas,"Feyenoord   "
176,Pays-Bas,15,18,Leroy Fer,3. Milieu,5 janvier 1990,24,6,Angleterre,"Norwich City  "
177,Pays-Bas,15,21,Memphis Depay,3. Milieu,13 février 1994,20,6,Pays-Bas,"PSV   "
178,Pays-Bas,15,8,Nigel de Jong,3. Milieu,13 novembre 1984,29,71,Italie,"Milan   "
179,Pays-Bas,15,10,Wesley Sneijder,3. Milieu,9 juin 1984,29,99,Turquie,"Galatasaray   "
180,Pays-Bas,15,15,Dirk Kuyt,4. Attaquant,22 juillet 1980,33,98,Turquie,"Fenerbahce   "
181,Pays-Bas,15,17,Jeremain Lens,4. Attaquant,24 novembre 1987,26,22,Ukraine,"Dynamo Kyiv  "
182,Pays-Bas,15,19,Klaas-Jan Huntelaar,4. Attaquant,12 août 1983,30,62,Allemagne,"Schalke 4  "
183,Pays-Bas,15,9,Robin van Persie (c),4. Attaquant,6 août 1983,30,85,Angleterre,"Manchester United  "
184,Colombie,8,12,Camilo Vargas,1. Gardien,1 septembre 1989,24,0,Colombie,"Santa Fe  "
185,Colombie,8,1,David Ospina,1. Gardien,31 août 1988,25,44,France,"Nice   "
186,Colombie,8,22,Faryd Mondragon,1. Gardien,21 juin 1971,42,50,Colombie,"Deportivo Cali  "
187,Colombie,8,23,Carlos Valdes,2. Defenseur,22 mai 1985,29,14,Argentine,"San Lorenzo  "
188,Colombie,8,2,Cristian Zapata,2. Defenseur,30 septembre 1986,27,24,Italie,"Milan   "
189,Colombie,8,16,Eder Alvarez Balanta,2. Defenseur,28 février 1993,21,3,Argentine,"River Plate  "
190,Colombie,8,18,Juan Camilo Zuniga,2. Defenseur,14 décembre 1985,28,50,Italie,"Napoli   "
191,Colombie,8,3,Mario Yepes (c),2. Defenseur,13 janvier 1976,38,98,Italie,"Atalanta   "
192,Colombie,8,7,Pablo Armero,2. Defenseur,2 novembre 1986,27,53,Angleterre,"West Ham United "
193,Colombie,8,4,Santiago Arias,2. Defenseur,13 janvier 1992,22,6,Pays-Bas,"PSV   "
194,Colombie,8,8,Abel Aguilar,3. Milieu,6 janvier 1985,29,49,France,"Toulouse   "
195,Colombie,8,5,Carlos Carbonero,3. Milieu,25 juillet 1990,23,1,Argentine,"River Plate  "
196,Colombie,8,15,Alexander Mejia,3. Milieu,7 septembre 1988,25,8,Colombie,"Atletico Nacional  "
197,Colombie,8,6,Carlos Sanchez,3. Milieu,6 février 1986,28,44,Espagne,"Elche   "
198,Colombie,8,13,Fredy Guarin,3. Milieu,30 juin 1986,27,49,Italie,"Internazionale   "
199,Colombie,8,10,James Rodriguez,3. Milieu,12 juillet 1991,22,22,France,"Monaco   "
200,Colombie,8,20,Juan Fernando Quintero,3. Milieu,18 janvier 1993,21,4,Portugal,"Porto   "
201,Colombie,8,11,Juan Guillermo Cuadrado,3. Milieu,26 mai 1988,26,28,Italie,"Fiorentina   "
202,Colombie,8,14,Victor Ibarbo,3. Milieu,19 mai 1990,24,9,Italie,"Cagliari   "
203,Colombie,8,19,Adrian Ramos,4. Attaquant,22 janvier 1986,28,26,Allemagne,"Hertha BSC  "
204,Colombie,8,17,Carlos Bacca,4. Attaquant,8 septembre 1986,27,11,Espagne,"Sevilla   "
205,Colombie,8,21,Jackson Martinez,4. Attaquant,3 octobre 1986,27,27,Portugal,"Porto   "
206,Colombie,8,9,Teofilo Gutierrez,4. Attaquant,28 mai 1985,29,30,Argentine,"River Plate  "
207,Cote d'Ivoire,23,1,Boubacar Barry,1. Gardien,30 décembre 1979,34,79,Belgique,"Lokeren   "
208,Cote d'Ivoire,23,23,Sayouba Mande,1. Gardien,5 juin 1993,21,1,Norvege,"Stabæk   "
209,Cote d'Ivoire,23,16,Sylvain Gbohouo,1. Gardien,29 octobre 1988,25,1,Cote d'Ivoire,"Sewe Sport  "
210,Cote d'Ivoire,23,3,Arthur Boka,2. Defenseur,2 avril 1983,31,79,Allemagne,"VfB Stuttgart  "
211,Cote d'Ivoire,23,18,Constant Djakpa,2. Defenseur,17 octobre 1986,27,4,Allemagne,"Eintracht Frankfurt  "
212,Cote d'Ivoire,23,5,Didier Zokora,2. Defenseur,14 décembre 1980,33,119,Turquie,"Trabzonspor   "
213,Cote d'Ivoire,23,7,Jean-Daniel Akpa-Akpro,2. Defenseur,11 octobre 1992,21,1,France,"Toulouse   "
214,Cote d'Ivoire,23,4,Kolo Toure,2. Defenseur,19 mars 1981,33,106,Angleterre,"Liverpool   "
215,Cote d'Ivoire,23,2,Ousmane Viera,2. Defenseur,21 décembre 1986,27,3,Turquie,"caykur Rizespor  "
216,Cote d'Ivoire,23,17,Serge Aurier,2. Defenseur,24 décembre 1992,21,8,France,"Toulouse   "
217,Cote d'Ivoire,23,22,Sol Bamba,2. Defenseur,13 janvier 1985,29,43,Turquie,"Trabzonspor   "
218,Cote d'Ivoire,23,9,Cheick Tiote,3. Milieu,21 juin 1986,27,44,Angleterre,"Newcastle United  "
219,Cote d'Ivoire,23,13,Didier Ya Konan,3. Milieu,25 février 1984,30,25,Allemagne,"Hannover 96  "
220,Cote d'Ivoire,23,14,Ismael Diomande,3. Milieu,28 août 1992,21,1,France,"Saint-etienne   "
221,Cote d'Ivoire,23,20,Serey Die,3. Milieu,7 novembre 1984,29,6,Suisse,"Basel   "
222,Cote d'Ivoire,23,19,Yaya Toure,3. Milieu,13 mai 1983,31,83,Angleterre,"Manchester City  "
223,Cote d'Ivoire,23,11,Didier Drogba (c),4. Attaquant,11 mars 1978,36,100,Turquie,"Galatasaray   "
224,Cote d'Ivoire,23,10,Gervinho,4. Attaquant,27 mai 1987,27,53,Italie,"Roma   "
225,Cote d'Ivoire,23,21,Giovanni Sio,4. Attaquant,31 mars 1989,25,7,Suisse,"Basel   "
226,Cote d'Ivoire,23,6,Mathis Bolly,4. Attaquant,14 novembre 1990,23,3,Allemagne,"Fortuna Düsseldorf  "
227,Cote d'Ivoire,23,15,Max Gradel,4. Attaquant,30 novembre 1987,26,25,France,"Saint-etienne   "
228,Cote d'Ivoire,23,8,Salomon Kalou,4. Attaquant,5 août 1985,28,64,France,"Lille   "
229,Cote d'Ivoire,23,12,Wilfried Bony,4. Attaquant,10 décembre 1988,25,24,Angleterre,"Swansea City  "
230,Grece,12,1,Orestis Karnezis,1. Gardien,11 juillet 1985,28,19,Espagne,"Granada   "
231,Grece,12,12,Panagiotis Glykos,1. Gardien,3 juin 1986,28,2,Grece,"PAOK   "
232,Grece,12,13,Stefanos Kapino,1. Gardien,18 mars 1994,20,2,Grece,"Panathinaikos   "
233,Grece,12,2,Giannis Maniatis,3. Milieu,12 octobre 1986,27,30,Grece,"Olympiacos   "
234,Grece,12,3,Giorgos Tzavellas,2. Defenseur,26 novembre 1987,26,13,Grece,"PAOK   "
235,Grece,12,20,Jose Holebas,2. Defenseur,27 juin 1984,29,22,Grece,"Olympiacos   "
236,Grece,12,4,Kostas Manolas,2. Defenseur,14 juin 1991,22,9,Grece,"Olympiacos   "
237,Grece,12,11,Loukas Vyntra,2. Defenseur,5 février 1981,33,50,Espagne,"Levante   "
238,Grece,12,19,Sokratis Papastathopoulos,2. Defenseur,9 juin 1988,25,47,Allemagne,"Borussia Dortmund  "
239,Grece,12,5,Vangelis Moras,2. Defenseur,26 août 1981,32,19,Italie,"Verona   "
240,Grece,12,15,Vasilis Torosidis,2. Defenseur,10 juin 1985,28,66,Italie,"Roma   "
241,Grece,12,6,Alexandros Tziolis,3. Milieu,13 février 1985,29,49,Turquie,"Kayserispor   "
242,Grece,12,22,Andreas Samaris,3. Milieu,13 juin 1989,24,4,Grece,"Olympiacos   "
243,Grece,12,18,Giannis Fetfatzidis,3. Milieu,21 décembre 1990,23,19,Italie,"Genoa   "
244,Grece,12,10,Giorgos Karagounis (c),3. Milieu,6 mars 1977,37,135,Angleterre,"Fulham   "
245,Grece,12,21,Kostas Katsouranis,3. Milieu,21 juin 1979,34,111,Grece,"PAOK   "
246,Grece,12,16,Lazaros Christodoulopoulos,3. Milieu,19 décembre 1986,27,19,Italie,"Bologna   "
247,Grece,12,8,Panagiotis Kone,3. Milieu,26 juillet 1987,26,16,Italie,"Bologna   "
248,Grece,12,23,Panagiotis Tachtsidis,3. Milieu,15 février 1991,23,6,Italie,"Torino   "
249,Grece,12,14,Dimitris Salpingidis,4. Attaquant,18 août 1981,32,76,Grece,"PAOK   "
250,Grece,12,7,Giorgos Samaras,4. Attaquant,21 février 1985,29,74,Ecosse,"Celtic   "
