rowNumber,sn,fn,ln,no,ps,nt,db,ag,ht,go/at,cb,cn
64,Gaspar,Jordy,Gaspar,56,2,FRA,23.04.1997,18,,0,Lyon,FRA
65,Ghezzal,Rachid,Ghezzal,11,3,FRA,09.05.1992,23,182,0,Lyon,FRA
66,Gonalons,Maxime,Gonalons,21,3,FRA,10.03.1989,26,185,2,Lyon,FRA
67,Gorgelin,Mathieu,Gorgelin,30,1,FRA,05.08.1990,25,187,0,Lyon,FRA
68,Grange,Dorian,Grange,50,1,FRA,10.05.1996,19,,0,Lyon,FRA
69,Grenier,Cl??ment,Grenier,7,3,FRA,07.01.1991,24,186,1,Lyon,FRA
70,Hemans Arday,Isaac,Hemans Arday,58,2,GHA,26.12.1996,18,,0,Lyon,FRA
71,Jallet,Christophe,Jallet,13,2,FRA,31.10.1983,31,178,1,Lyon,FRA
72,U. Jenssen,Ulrik,Jenssen,35,2,NOR,17.07.1996,19,,0,Lyon,FRA
73,Kalulu,Aldo,Kalulu,26,3,FRA,21.01.1996,19,,0,Lyon,FRA
74,Kalulu,G??d??on,Kalulu,65,2,FRA,29.08.1997,18,,0,Lyon,FRA
75,Kemen,Olivier,Kemen,24,3,FRA,20.07.1996,19,,0,Lyon,FRA
76,B. Kon??,Bakary,Kon??,4,2,BFA,27.04.1988,27,188,2,Lyon,FRA
77,Labidi,Zakarie,Labidi,32,3,FRA,08.02.1995,20,178,0,Lyon,FRA
78,Lacazette,Alexandre,Lacazette,10,4,FRA,28.05.1991,24,175,2,Lyon,FRA
79,Lebongo,Stanislas,Lebongo,40,1,FRA,21.09.1997,17,,0,Lyon,FRA
80,Loisi,Enzo,Loisi,67,3,FRA,15.06.1998,17,,0,Lyon,FRA
81,Anthony Lopes,Anthony,Lopes,1,1,POR,01.10.1990,24,184,0,Lyon,FRA
82,Malbranque,Steed,Malbranque,17,3,FRA,06.01.1980,35,168,2,Lyon,FRA
83,Martelat,Yoann,Martelat,59,3,FRA,16.01.1997,18,,0,Lyon,FRA
84,C. Martins,Christopher,Martins,46,3,LUX,19.02.1997,18,,0,Lyon,FRA
85,Mboumbouni,Dylan,Mboumbouni,37,2,FRA,20.02.1996,19,182,0,Lyon,FRA
86,Mocio,Lucas,Mocio,16,1,FRA,11.05.1994,21,197,0,Lyon,FRA
87,Morel,J??r??my,Morel,15,2,FRA,02.04.1984,31,176,0,Lyon,FRA
88,Moufi,Fahd,Moufi,38,2,FRA,05.05.1996,19,,0,Lyon,FRA
89,Moutoussamy,Samuel,Moutoussamy,43,2,FRA,12.08.1996,19,,0,Lyon,FRA
90,Mvuemba,Arnold,Mvuemba,28,3,FRA,28.01.1985,30,172,0,Lyon,FRA
91,Neto,C??sar,Neto,60,2,FRA,26.02.1999,16,,0,Lyon,FRA
92,Ngouma,Romaric,Ngouma,44,2,FRA,28.01.1995,20,,0,Lyon,FRA
93,Owusu,Elisha,Owusu,61,3,FRA,07.11.1997,17,,0,Lyon,FRA
94,Pagliuca,Kilian,Pagliuca,39,4,SUI,02.09.1996,19,,0,Lyon,FRA
95,Paye,Mour,Paye,31,4,FRA,24.05.1994,21,,0,Lyon,FRA
96,Perrin,Ga??tan,Perrin,62,3,FRA,07.06.1996,19,,0,Lyon,FRA
97,Rafael,,Rafael,20,2,BRA,09.07.1990,25,172,0,Lyon,FRA
98,Richard,Thomas,Richard,63,4,FRA,21.03.1997,18,,0,Lyon,FRA
99,Rose,Lindsay,Rose,22,2,FRA,08.02.1992,23,184,0,Lyon,FRA
100,Roselli,Alexandre,Roselli,64,2,FRA,17.03.1997,18,,0,Lyon,FRA
101,Sergi Darder,,Sergi Darder,14,3,ESP,22.12.1993,21,180,0,Lyon,FRA
102,Sy,Ahamadou,Sy,68,2,FRA,05.01.1998,17,,0,Lyon,FRA
103,Tolisso,Corentin,Tolisso,8,3,FRA,03.08.1994,21,181,0,Lyon,FRA
104,Tousart,Lucas,Tousart,29,3,FRA,29.04.1997,18,,0,Lyon,FRA
105,Umtiti,Samuel,Umtiti,23,2,FRA,14.11.1993,21,180,0,Lyon,FRA
106,Valbuena,Mathieu,Valbuena,19,4,FRA,28.09.1984,30,167,3,Lyon,FRA
107,Yanga-Mbiwa,Mapou,Yanga-Mbiwa,2,2,FRA,15.05.1989,26,184,0,Lyon,FRA
108,Alaba,David,Alaba,27,2,AUT,24.06.1992,23,175,4,Bayern,GER
109,Xabi Alonso,Xabi,Alonso,14,3,ESP,25.11.1981,33,183,5,Bayern,GER
110,Badstuber,Holger,Badstuber,28,2,GER,13.03.1989,26,189,1,Bayern,GER
111,Benatia,Medhi,Benatia,5,2,MAR,17.04.1987,28,190,1,Bayern,GER
112,Benko,Fabian,Benko,40,3,GER,05.06.1998,17,,0,Bayern,GER
113,Bernat,Juan,Bernat,18,2,ESP,01.03.1993,22,172,0,Bayern,GER
114,Boateng,J??r??me,Boateng,17,2,GER,03.09.1988,27,190,3,Bayern,GER
115,Coman,Kingsley,Coman,29,4,FRA,13.06.1996,19,178,0,Bayern,GER
116,Dorsch,Niklas,Dorsch,30,3,GER,15.01.1998,17,,0,Bayern,GER
117,Douglas Costa,,Douglas Costa,11,3,BRA,14.09.1990,25,170,6,Bayern,GER
118,Gaudino,Gianluca,Gaudino,16,3,GER,11.11.1996,18,175,0,Bayern,GER
119,G??tze,Mario,G??tze,19,3,GER,03.06.1992,23,185,10,Bayern,GER
120,Green,Julian,Green,37,3,USA,06.06.1995,20,172,0,Bayern,GER
121,Hundertmark,David,Hundertmark,34,1,GER,06.08.1997,18,,0,Bayern,GER
122,Javi Mart??nez,,Javi Mart??nez,8,3,ESP,02.09.1988,27,190,0,Bayern,GER
123,Kimmich,Joshua,Kimmich,32,3,GER,08.02.1995,20,176,0,Bayern,GER
124,Kirchhoff,Jan,Kirchhoff,15,2,GER,01.10.1990,24,195,0,Bayern,GER
125,Lahm,Philipp,Lahm,21,2,GER,11.11.1983,31,170,0,Bayern,GER
126,Lewandowski,Robert,Lewandowski,9,4,POL,21.08.1988,27,184,23,Bayern,GER
127,Lucic,Ivan,Lucic,33,1,AUT,23.03.1995,20,193,0,Bayern,GER
128,M??ller,Thomas,M??ller,25,4,GER,13.09.1989,26,186,30,Bayern,GER
129,Neuer,Manuel,Neuer,1,1,GER,27.03.1986,29,193,0,Bayern,GER
130,Pohl,Felix,Pohl,38,2,GER,11.12.1996,18,,0,Bayern,GER
131,Rafinha,,Rafinha,13,2,BRA,07.09.1985,30,172,2,Bayern,GER
132,Rib??ry,Franck,Rib??ry,7,3,FRA,07.04.1983,32,170,17,Bayern,GER
133,Robben,Arjen,Robben,10,4,NED,23.01.1984,31,181,25,Bayern,GER
134,Rode,Sebastian,Rode,20,3,GER,11.10.1990,24,179,1,Bayern,GER
135,Starke,Tom,Starke,22,1,GER,18.03.1981,34,194,0,Bayern,GER
136,Thiago Alc??ntara,,Thiago Alc??ntara,6,3,ESP,11.04.1991,24,170,2,Bayern,GER
137,Ulreich,Sven,Ulreich,26,1,GER,03.08.1988,27,192,0,Bayern,GER
138,Vidal,Arturo,Vidal,23,3,CHI,22.05.1987,28,180,9,Bayern,GER
139,Weihrauch,Patrick,Weihrauch,36,4,GER,03.03.1994,21,181,0,Bayern,GER
140,Abner,,Abner,30,2,BRA,30.05.1996,19,176,0,Real Madrid,ESP
141,Arbeloa,??lvaro,Arbeloa,17,2,ESP,17.01.1983,32,180,3,Real Madrid,ESP
142,Bale,Gareth,Bale,11,3,WAL,16.07.1989,26,186,12,Real Madrid,ESP
143,Benzema,Karim,Benzema,9,4,FRA,19.12.1987,27,183,43,Real Madrid,ESP
144,Carvajal,Dani,Carvajal,15,2,ESP,11.01.1992,23,171,0,Real Madrid,ESP
145,Casemiro,,Casemiro,14,3,BRA,23.02.1992,23,184,1,Real Madrid,ESP
146,Casilla,Kiko,Casilla,13,1,ESP,02.10.1986,28,191,0,Real Madrid,ESP
147,Cheryshev,Denis,Cheryshev,21,3,RUS,26.12.1990,24,179,0,Real Madrid,ESP
148,Danilo,,Danilo,23,2,BRA,15.07.1991,24,184,1,Real Madrid,ESP
149,Isco,,Isco,22,3,ESP,21.04.1992,23,175,6,Real Madrid,ESP
150,James Rodr??guez,,James Rodr??guez,10,3,COL,12.07.1991,24,180,3,Real Madrid,ESP
151,Jes??,,Jes??,20,4,ESP,26.02.1993,22,178,0,Real Madrid,ESP
152,Kova??i??,Mateo,Kova??i??,16,3,CRO,06.05.1994,21,179,1,Real Madrid,ESP
153,Kroos,Toni,Kroos,8,3,GER,04.01.1990,25,180,6,Real Madrid,ESP
154,Llorente,Marcos,Llorente,28,3,ESP,30.01.1995,20,182,0,Real Madrid,ESP
155,Lucas V??zquez,,Lucas V??zquez,18,3,ESP,01.07.1991,24,173,0,Real Madrid,ESP
156,Marcelo,,Marcelo,12,2,BRA,12.05.1988,27,174,5,Real Madrid,ESP
157,Mayoral,Borja,Mayoral,29,4,ESP,05.04.1997,18,181,0,Real Madrid,ESP
158,Modri??,Luka,Modri??,19,3,CRO,09.09.1985,30,171,5,Real Madrid,ESP
159,Nacho,,Nacho,6,2,ESP,18.01.1990,25,178,0,Real Madrid,ESP
160,Navas,Keylor,Navas,1,1,CRC,15.12.1986,28,184,0,Real Madrid,ESP
161,??degaard,Martin,??degaard,27,3,NOR,17.12.1998,16,170,0,Real Madrid,ESP
162,Pepe,,Pepe,3,2,POR,26.02.1983,32,187,3,Real Madrid,ESP
163,Ramos,Sergio,Ramos,4,2,ESP,30.03.1986,29,183,8,Real Madrid,ESP
164,Ronaldo,Cristiano,Ronaldo,7,4,POR,05.02.1985,30,184,81,Real Madrid,ESP
165,Varane,Rapha??l,Varane,2,2,FRA,25.04.1993,22,191,0,Real Madrid,ESP
166,Y????ez,Rub??n,Y????ez,31,1,ESP,12.10.1993,21,187,0,Real Madrid,ESP
167,Alberto,Suently,Alberto,33,2,NED,09.06.1996,19,178,0,PSV,NED
168,Arias,Santiago,Arias,4,2,COL,13.01.1992,23,175,0,PSV,NED
169,Bergwijn,Steven,Bergwijn,27,4,NED,08.10.1997,17,171,0,PSV,NED
170,J. Bertrams,Jesse,Bertrams,31,1,NED,22.12.1994,20,187,0,PSV,NED
171,Boljevi??,Aleksandar,Boljevi??,39,4,MNE,12.12.1995,19,172,0,PSV,NED
172,Brenet,Joshua,Brenet,20,2,NED,20.03.1994,21,181,0,PSV,NED
173,Bruma,Jeffrey,Bruma,5,2,NED,13.11.1991,23,186,0,PSV,NED
174,De Jong,Luuk,de Jong,9,4,NED,27.08.1990,25,188,2,PSV,NED
175,De Wijs,Jordy,De Wijs,30,2,NED,08.01.1995,20,189,0,PSV,NED
176,Groenendijk,Bob,Groenendijk,48,2,NED,15.05.1996,19,,0,PSV,NED
177,Guardado,Andr??s,Guardado,18,3,MEX,28.09.1986,28,169,0,PSV,NED
178,Al. Gu??mundsson,Albert,Gu??mundsson,49,3,ISL,15.06.1997,18,,0,PSV,NED
179,Heesakkers,Sander,Heesakkers,36,2,NED,08.01.1995,20,182,0,PSV,NED
180,Hendrix,Jorrit,Hendrix,29,2,NED,06.02.1995,20,182,0,PSV,NED
181,Hermannsson,Hj??rtur,Hermannsson,35,2,ISL,08.02.1995,20,189,0,PSV,NED
182,Isimat-Mirin,Nicolas,Isimat-Mirin,2,2,FRA,15.11.1991,23,189,0,PSV,NED
183,Jozefzoon,Florian,Jozefzoon,17,4,NED,09.02.1991,24,173,0,PSV,NED
184,Koch,Menno,Koch,25,2,NED,02.07.1994,21,195,0,PSV,NED
185,Koopmans,Luuk,Koopmans,21,1,NED,18.11.1993,21,,0,PSV,NED
186,Lammers,Sam,Lammers,50,4,NED,30.04.1997,18,,0,PSV,NED
187,Laursen,Nikolai,Laursen,37,4,DEN,19.02.1998,17,183,0,PSV,NED
188,Leemans,Clint,Leemans,26,2,NED,15.09.1995,20,186,0,PSV,NED
189,Lestienne,Maxime,Lestienne,16,4,BEL,17.06.1992,23,176,0,PSV,NED
190,Locadia,J??rgen,Locadia,19,4,NED,07.11.1993,21,180,1,PSV,NED
191,Loof,Augustine,Loof,45,2,NED,01.01.1996,19,,0,PSV,NED
192,Lundqvist,Ramon-Pascal,Lundqvist,38,3,SWE,10.05.1997,18,,0,PSV,NED
193,Maher,Adam,Maher,10,3,NED,20.07.1993,22,176,0,PSV,NED
194,Moreno,H??ctor,Moreno,3,2,MEX,17.01.1988,27,183,1,PSV,NED
195,Narsingh,Luciano,Narsingh,11,4,NED,13.09.1990,25,178,1,PSV,NED
196,Paal,Kenneth,Paal,32,3,NED,24.06.1997,18,177,0,PSV,NED
197,Pasveer,Remko,Pasveer,22,1,NED,08.11.1983,31,186,0,PSV,NED
198,Pereiro,Gast??n,Pereiro,7,3,URU,11.06.1995,20,188,0,PSV,NED
199,S. Poulsen,Simon,Poulsen,14,2,DEN,07.10.1984,30,186,0,PSV,NED
200,Pr??pper,Davy,Pr??pper,6,3,NED,02.09.1991,24,189,0,PSV,NED
201,Rommens,Olivier,Rommens,40,3,BEL,03.02.1995,20,177,0,PSV,NED
202,Sanoh,Moussa,Sanoh,44,4,NED,20.07.1995,20,174,0,PSV,NED
203,Schaars,Stijn,Schaars,8,3,NED,11.01.1984,31,181,0,PSV,NED
204,van Osch,Yanick,van Osch,41,1,NED,24.03.1997,18,,0,PSV,NED
205,van Vlerken,Bram,van Vlerken,34,2,NED,07.10.1995,19,175,0,PSV,NED
206,Vloet,Rai,Vloet,23,3,NED,08.05.1995,20,180,0,PSV,NED
207,Willems,Jetro,Willems,15,2,NED,30.03.1994,21,170,0,PSV,NED
208,Zoet,Jeroen,Zoet,1,1,NED,06.01.1991,24,186,0,PSV,NED
209,Aboubakar,Vincent,Aboubakar,9,4,CMR,22.01.1992,23,184,5,Porto,POR
210,Alberto Bueno,,Alberto Bueno,23,4,ESP,20.03.1988,27,178,0,Porto,POR
211,Andr?? Andr??,,Andr?? Andr??,20,3,POR,26.08.1989,26,174,0,Porto,POR
212,Andr?? Silva,,Andr?? Silva,19,4,POR,06.11.1995,19,182,0,Porto,POR
213,Brahimi,Yacine,Brahimi,8,3,ALG,08.02.1990,25,175,6,Porto,POR
214,Bruno Costa,,Bruno Costa,87,4,POR,19.04.1997,18,169,0,Porto,POR
215,Caio,Andr??,Caio,91,1,POR,23.02.1994,21,177,0,Porto,POR
216,Casillas,Iker,Casillas,12,1,ESP,20.05.1981,34,185,0,Porto,POR
217,Cissokho,Aly,Cissokho,28,2,FRA,15.09.1987,28,181,1,Porto,POR
218,Corona,Jes??s,Corona,17,4,MEX,06.01.1993,22,,0,Porto,POR
219,Danilo,,Danilo,22,3,POR,09.09.1991,24,188,0,Porto,POR
220,David Sualehe,,David Sualehe,65,2,POR,23.03.1997,18,,0,Porto,POR
221,Diogo Sousa,,Diogo Sousa,73,2,POR,26.10.1996,18,185,0,Porto,POR
222,Evandro,,Evandro,15,3,BRA,23.08.1986,29,179,0,Porto,POR
223,Fernando,,Fernando,72,2,POR,14.03.1997,18,,0,Porto,POR
224,Filipe Ferreira,,Filipe Ferreira,51,1,POR,20.09.1996,18,,0,Porto,POR
225,Francisco Ramos,,Francisco Ramos,48,3,POR,10.04.1995,20,177,0,Porto,POR
226,Helton,,Helton,1,1,BRA,18.05.1978,37,189,0,Porto,POR
227,Herrera,Hector,Herrera,16,3,MEX,19.04.1990,25,183,4,Porto,POR
228,Imbula,Giannelli,Imbula,25,3,FRA,12.09.1992,23,186,0,Porto,POR
229,Jo??o Cardoso,,Jo??o Cardoso,78,3,POR,10.02.1997,18,,0,Porto,POR
230,Jo??o Costa,,Jo??o Costa,41,1,POR,02.02.1996,19,185,0,Porto,POR
231,Jo??o Gra??a,,Jo??o Gra??a,50,3,POR,18.06.1995,20,180,0,Porto,POR
232,Jorge,,Jorge,64,2,POR,02.04.1997,18,,0,Porto,POR
233,Lay??n,Miguel,Lay??n,21,2,MEX,25.06.1988,27,,0,Porto,POR
234,Lu??s Mata,,Lu??s Mata,97,4,POR,06.07.1997,18,179,0,Porto,POR
235,Maicon,,Maicon,4,2,BRA,14.09.1988,27,190,0,Porto,POR
236,Marcano,Iv??n,Marcano,5,2,ESP,23.06.1987,28,189,0,Porto,POR
237,Martins Indi,Bruno,Martins Indi,3,2,NED,08.02.1992,23,187,0,Porto,POR
238,Maxi Pereira,,Maxi Pereira,2,2,URU,08.06.1984,31,173,3,Porto,POR
239,Osvaldo,Pablo,Osvaldo,10,4,ITA,12.01.1986,29,182,0,Porto,POR
240,Podstawski,Tom??s,Podstawski,56,3,POR,30.01.1995,20,181,0,Porto,POR
241,Rafa,,Rafa,55,2,POR,09.05.1995,20,182,0,Porto,POR
242,R??ben Macedo,,R??ben Macedo,77,4,POR,09.03.1996,19,171,0,Porto,POR
243,R??ben Neves,,R??ben Neves,6,3,POR,13.03.1997,18,180,0,Porto,POR
244,Rui Moreira,,Rui Moreira,60,3,POR,31.05.1996,19,178,0,Porto,POR
245,S??rgio Oliveira,,S??rgio Oliveira,13,3,POR,02.06.1992,23,181,0,Porto,POR
246,S??rgio Ribeiro,,S??rgio Ribeiro,70,4,POR,18.01.1996,19,178,0,Porto,POR
247,Tello,Cristian,Tello,11,4,ESP,11.08.1991,24,178,5,Porto,POR
248,Varela,Silvestre,Varela,7,4,POR,02.02.1985,30,180,3,Porto,POR
249,Bilal Kisa,,Bilal Kisa,5,3,TUR,22.06.1983,32,180,0,Galatasaray,TUR
250,Burak Y??lmaz,,Burak Y??lmaz,17,4,TUR,15.07.1985,30,183,10,Galatasaray,TUR
251,Carole,Lionel,Carole,23,2,FRA,12.04.1991,24,182,0,Galatasaray,TUR
252,Cenk G??nen,,Cenk G??nen,99,1,TUR,21.02.1988,27,190,0,Galatasaray,TUR
253,Chedjou,Aur??lien,Chedjou,21,2,CMR,20.06.1985,30,184,2,Galatasaray,TUR
254,Denayer,Jason,Denayer,64,2,BEL,28.06.1995,20,184,0,Galatasaray,TUR
255,Emre ??olak,,Emre ??olak,52,3,TUR,20.05.1991,24,168,0,Galatasaray,TUR
256,Eray ????can,,Eray ????can,67,1,TUR,19.07.1991,24,195,0,Galatasaray,TUR
257,G??nter,Koray,G??nter,28,2,GER,16.08.1994,21,185,0,Galatasaray,TUR
258,Hakan Balta,,Hakan Balta,22,2,TUR,23.03.1983,32,184,1,Galatasaray,TUR
259,Hamit Alt??ntop,,Hamit Alt??ntop,4,3,TUR,08.12.1982,32,183,2,Galatasaray,TUR
260,Jem Paul Karacan,,Jem Paul Karacan,6,3,TUR,21.02.1989,26,178,0,Galatasaray,TUR
261,Jos?? Rodr??guez,,Jos?? Rodr??guez,14,3,ESP,16.12.1994,20,180,0,Galatasaray,TUR
262,Muslera,Fernando,Muslera,1,1,URU,16.06.1986,29,190,0,Galatasaray,TUR
263,Olcan Ad??n,,Olcan Ad??n,29,3,TUR,30.09.1985,29,176,0,Galatasaray,TUR
264,Podolski,Lukas,Podolski,11,4,GER,04.06.1985,30,182,11,Galatasaray,TUR
265,Sabri Sar??o??lu,,Sabri Sar??o??lu,55,2,TUR,26.07.1984,31,170,2,Galatasaray,TUR
266,Sel??uk ??nan,,Sel??uk ??nan,8,3,TUR,10.02.1985,30,182,0,Galatasaray,TUR
267,Semih Kaya,,Semih Kaya,26,2,TUR,24.02.1991,24,182,0,Galatasaray,TUR
268,Sinan G??m??s,,Sinan G??m??s,18,4,TUR,15.01.1994,21,179,0,Galatasaray,TUR
269,Sneijder,Wesley,Sneijder,10,3,NED,09.06.1984,31,170,15,Galatasaray,TUR
270,Tar??k ??amdal,,Tar??k ??amdal,38,2,TUR,24.03.1991,24,172,0,Galatasaray,TUR
271,Umut Bulut,,Umut Bulut,9,4,TUR,15.03.1983,32,184,4,Galatasaray,TUR
272,Yasin ??ztekin,,Yasin ??ztekin,7,3,TUR,19.03.1987,28,179,0,Galatasaray,TUR
273,Adriano,,Adriano,21,2,BRA,26.10.1984,30,172,1,Barcelona,ESP
274,David Babunski,David,Babunski,29,3,MKD,01.03.1994,21,,0,Barcelona,ESP
275,Bartra,Marc,Bartra,15,2,ESP,15.01.1991,24,183,0,Barcelona,ESP
276,Bravo,Claudio,Bravo,13,1,CHI,13.04.1983,32,184,0,Barcelona,ESP
277,Busquets,Sergio,Busquets,5,3,ESP,16.07.1988,27,189,4,Barcelona,ESP
278,C??mara,Juan,C??mara,27,3,ESP,13.02.1994,21,,0,Barcelona,ESP
279,Dani Alves,,Dani Alves,6,2,BRA,06.05.1983,32,173,7,Barcelona,ESP
280,Douglas,,Douglas,2,2,BRA,06.08.1990,25,171,0,Barcelona,ESP
281,Grimaldo,Alejandro,Grimaldo,30,2,ESP,20.09.1995,19,170,0,Barcelona,ESP
282,Gumbau,Gerard,Gumbau,28,3,ESP,18.12.1994,20,188,0,Barcelona,ESP
283,Iniesta,Andr??s,Iniesta,8,3,ESP,11.05.1984,31,170,10,Barcelona,ESP
284,Jordi Alba,,Jordi Alba,18,2,ESP,21.03.1989,26,170,2,Barcelona,ESP
285,Mascherano,Javier,Mascherano,14,2,ARG,08.06.1984,31,174,0,Barcelona,ESP
286,Masip,Jordi,Masip,25,1,ESP,03.01.1989,26,179,0,Barcelona,ESP
287,Mathieu,J??r??my,Mathieu,24,2,FRA,29.10.1983,31,189,0,Barcelona,ESP
288,Messi,Lionel,Messi,10,4,ARG,24.06.1987,28,169,77,Barcelona,ESP
289,Munir El Haddadi,,Munir El Haddadi,17,4,ESP,01.09.1995,20,175,0,Barcelona,ESP
