rowNumber,displayName,firstName,lastName,leagueShortname,fullName,leagueName,shortName
65,Thibaut Courtois,Thibaut,Courtois,Premier League,Thibaut Courtois,Barclays Premier League,T. Courtois
66,Philippe Coutinho,Philippe,Coutinho,Premier League,Philippe Coutinho,Barclays Premier League,P. Coutinho
67,Aaron Cresswell,Aaron,Cresswell,Premier League,Aaron Cresswell,Barclays Premier League,A. Cresswell
68,Peter Crouch,Peter,Crouch,Premier League,Peter Crouch,Barclays Premier League,P. Crouch
69,Rafael,Rafael,Da Silva,Premier League,Rafael Da Silva,Barclays Premier League,R. Da Silva
70,Willian,Willian,Da Silva,Premier League,Willian Borges Da Silva,Barclays Premier League,W. Da Silva
71,Diego Costa,Diego,da Silva Costa,Premier League,Diego da Silva Costa,Barclays Premier League,D. da Silva Costa
72,Donervon Daniels,Donervon,Daniels,Premier League,Donervon Daniels,Barclays Premier League,D. Daniels
73,Luke Daniels,Luke,Daniels,Premier League,Luke Daniels,Barclays Premier League,L. Daniels
74,Scott Dann,Scott,Dann,Premier League,Scott Dann,Barclays Premier League,S. Dann
75,Jason Davidson,Jason,Davidson,Premier League,Jason Davidson,Barclays Premier League,J. Davidson
76,Ben Davies,Ben,Davies,Premier League,Ben Davies,Barclays Premier League,B. Davies
77,Curtis Davies,Curtis,Davies,Premier League,Curtis Davies,Barclays Premier League,C. Davies
78,Kelvin Davis,Kelvin,Davis,Premier League,Kelvin Davis,Barclays Premier League,K. Davis
79,Steven Davis,Steven,Davis,Premier League,Steven Davis,Barclays Premier League,S. Davis
80,Craig Dawson,Craig,Dawson,Premier League,Craig Dawson,Barclays Premier League,C. Dawson
81,Michael Dawson,Michael,Dawson,Premier League,Michael Dawson,Barclays Premier League,M. Dawson
82,David De Gea,David,De Gea,Premier League,David Quintana De Gea,Barclays Premier League,D. De Gea
83,Siem De Jong,Siem,De Jong,Premier League,Siem De Jong,Barclays Premier League,S. De Jong
84,Ritchie De Laet,Ritchie,De Laet,Premier League,Ritchie De Laet,Barclays Premier League,R. De Laet
85,Mathieu Debuchy,Mathieu,Debuchy,Premier League,Mathieu Debuchy,Barclays Premier League,M. Debuchy
86,Damien Delaney,Damien,Delaney,Premier League,Damien Delaney,Barclays Premier League,D. Delaney
87,Fabian Delph,Fabian,Delph,Premier League,Fabian Delph,Barclays Premier League,F. Delph
88,Mousa Dembélé,Mousa,Dembélé,Premier League,Mousa Dembélé,Barclays Premier League,M. Dembélé
89,Guy Demel,Guy,Demel,Premier League,Guy Demel,Barclays Premier League,G. Demel
90,Martín Demichelis,Martín,Demichelis,Premier League,Martín Demichelis,Barclays Premier League,M. Demichelis
91,Ángel Di María,Ángel,Di María,Premier League,Ángel Di María,Barclays Premier League,Á. Di María
92,Mohamed Diame,Mohamed,Diame,Premier League,Mohamed Diame,Barclays Premier League,M. Diame
93,Eric Dier,Eric,Dier,Premier League,Eric Dier,Barclays Premier League,E. Dier
94,Sylvain Distin,Sylvain,Distin,Premier League,Sylvain Distin,Barclays Premier League,S. Distin
95,Graham Dorrans,Graham,Dorrans,Premier League,Graham Dorrans,Barclays Premier League,G. Dorrans
96,Oscar,Oscar,dos Santos Emboaba Júnior,Premier League,Oscar dos Santos Emboaba Júnior,Barclays Premier League,O. dos Santos Emboaba Júnior
97,Stewart Downing,Stewart,Downing,Premier League,Stewart Downing,Barclays Premier League,S. Downing
98,Kevin Doyle,Kevin,Doyle,Premier League,Kevin Doyle,Barclays Premier League,K. Doyle
99,Daniel Drinkwater,Daniel,Drinkwater,Premier League,Daniel Drinkwater,Barclays Premier League,D. Drinkwater
100,Didier Drogba,Didier,Drogba,Premier League,Didier Drogba,Barclays Premier League,D. Drogba
101,Mike Duff,Mike,Duff,Premier League,Mike Duff,Barclays Premier League,M. Duff
102,Paul Dummett,Paul,Dummett,Premier League,Paul Dummett,Barclays Premier League,P. Dummett
103,Cameron Dummigan,Cameron,Dummigan,Premier League,Cameron Dummigan,Barclays Premier League,C. Dummigan
104,Mike Duff,Mike,Duff,Premier League,Mike Duff,Barclays Premier League,M. Duff
105,Paul Dummett,Paul,Dummett,Premier League,Paul Dummett,Barclays Premier League,P. Dummett
106,Cameron Dummigan,Cameron,Dummigan,Premier League,Cameron Dummigan,Barclays Premier League,C. Dummigan
107,Richard Dunne,Richard,Dunne,Premier League,Richard Dunne,Barclays Premier League,R. Dunne
108,Nathan Dyer,Nathan,Dyer,Premier League,Nathan Dyer,Barclays Premier League,N. Dyer
109,Edin Dzeko,Edin,Dzeko,Premier League,Edin Dzeko,Barclays Premier League,E. Dzeko
110,Karim El Ahmadi,Karim,El Ahmadi,Premier League,Karim El Ahmadi,Barclays Premier League,K. El Ahmadi
111,Robert Elliot,Robert,Elliot,Premier League,Robert Elliot,Barclays Premier League,R. Elliot
112,Ahmed Elmohamady,Ahmed,Elmohamady,Premier League,Ahmed Elmohamady,Barclays Premier League,A. Elmohamady
113,Marvin Emnes,Marvin,Emnes,Premier League,Marvin Emnes,Barclays Premier League,M. Emnes
114,Christian Eriksen,Christian,Eriksen,Premier League,Christian Eriksen,Barclays Premier League,C. Eriksen
115,Jose Angel Esmoris Tasende,Jose Angel,Esmoris Tasende,Premier League,Jose Angel Esmoris Tasende,Barclays Premier League,J. Esmoris Tasende
116,Samuel Eto'o,Samuel,Eto'o,Premier League,Samuel Eto'o,Barclays Premier League,S. Eto'o
117,Jonathan Evans,Jonny,Evans,Premier League,Jonathan Evans,Barclays Premier League,J. Evans
118,Lukasz Fabianski,Lukasz,Fabianski,Premier League,Lukasz Fabianski,Barclays Premier League,L. Fabianski
119,Radamel Falcao,Radamel,Falcao Garcia,Premier League,Radamel Zarate Falcao Garcia,Barclays Premier League,R. Falcao Garcia
120,Alejandro Damian Faurlin,Alejandro Damian,Faurlin,Premier League,Alejandro Damian Faurlin,Barclays Premier League,A. Faurlin
121,Federico Fazio,Federico,Fazio,Premier League,Federico Fazio,Barclays Premier League,F. Fazio
122,Marouane Fellaini,Marouane,Fellaini,Premier League,Marouane Fellaini,Barclays Premier League,M. Fellaini
123,Leroy Fer,Leroy,Fer,Premier League,Leroy Fer,Barclays Premier League,L. Fer
124,Rio Ferdinand,Rio,Ferdinand,Premier League,Rio Ferdinand,Barclays Premier League,R. Ferdinand
125,Suso,Jesus,Fernandez Saez,Premier League,Jesus Fernandez Saez,Barclays Premier League,J. Fernandez Saez
126,Federico Fernández,Federico,Fernández,Premier League,Federico Fernández,Barclays Premier League,F. Fernández
127,Facundo Ferreyra,Facundo,Ferreyra,Premier League,Facundo Ferreyra,Barclays Premier League,F. Ferreyra
128,Maynor Figueroa,Maynor,Figueroa,Premier League,Maynor Figueroa,Barclays Premier League,M. Figueroa
129,Mathieu Flamini,Mathieu,Flamini,Premier League,Mathieu Flamini,Barclays Premier League,M. Flamini
130,Darren Fletcher,Darren,Fletcher,Premier League,Darren Fletcher,Barclays Premier League,D. Fletcher
131,Steven Fletcher,Steven,Fletcher,Premier League,Steven Fletcher,Barclays Premier League,S. Fletcher
132,Jose Fonte,Jose,Fonte,Premier League,Jose Fonte,Barclays Premier League,J. Fonte
133,Fraser Forster,Fraser,Forster,Premier League,Fraser Forster,Barclays Premier League,F. Forster
134,Ben Foster,Ben,Foster,Premier League,Ben Foster,Barclays Premier League,B. Foster
135,Brad Friedel,Brad,Friedel,Premier League,Brad Friedel,Barclays Premier League,B. Friedel
136,Ezekiel Fryers,Ezekiel,Fryers,Premier League,Ezekiel Fryers,Barclays Premier League,E. Fryers
137,Jay Fulton,Jay,Fulton,Premier League,Jay Fulton,Barclays Premier League,J. Fulton
138,Cesc Fàbregas,Cesc,Fàbregas,Premier League,Cesc Fàbregas,Barclays Premier League,C. Fàbregas
139,Cristian Gamboa,Cristian,Gamboa,Premier League,Cristian Gamboa,Barclays Premier League,C. Gamboa
140,Luke Garbutt,Luke,Garbutt,Premier League,Luke Garbutt,Barclays Premier League,L. Garbutt
141,Craig Gardner,Craig,Gardner,Premier League,Craig Gardner,Barclays Premier League,C. Gardner
142,Florin Gardos,Florin,Gardos,Premier League,Florin Gardos,Barclays Premier League,F. Gardos
143,Dwight Gayle,Dwight,Gayle,Premier League,Dwight Gayle,Barclays Premier League,D. Gayle
144,Steven Gerrard,Steven,Gerrard,Premier League,Steven Gerrard,Barclays Premier League,S. Gerrard
145,Emanuele Giaccherini,Emanuele,Giaccherini,Premier League,Emanuele Giaccherini,Barclays Premier League,E. Giaccherini
146,Kieran Gibbs,Kieran,Gibbs,Premier League,Kieran Gibbs,Barclays Premier League,K. Gibbs
147,Darron Gibson,Darron,Gibson,Premier League,Darron Gibson,Barclays Premier League,D. Gibson
148,Matthew Gilks,Matthew,Gilks,Premier League,Matthew Gilks,Barclays Premier League,M. Gilks
149,Olivier Giroud,Olivier,Giroud,Premier League,Olivier Giroud,Barclays Premier League,O. Giroud
150,Shay Given,Shay,Given,Premier League,Shay Given,Barclays Premier League,S. Given
151,Bafetimbi Gomis,Bafetimbi,Gomis,Premier League,Bafetimbi Gomis,Barclays Premier League,B. Gomis
152,Varela,Varela,Gonçalves Varela,Premier League,Varela Manuel Goncalves Gonçalves Varela,Barclays Premier League,V. Gonçalves Varela
153,Yoan Gouffran,Yoan,Gouffran,Premier League,Yoan Gouffran,Barclays Premier League,Y. Gouffran
154,Danny Graham,Danny,Graham,Premier League,Danny Graham,Barclays Premier League,D. Graham
155,Jack Grealish,Jack,Grealish,Premier League,Jack Grealish,Barclays Premier League,J. Grealish
156,Robert Green,Robert,Green,Premier League,Robert Green,Barclays Premier League,R. Green
157,Adlene Guedioura,Adlene,Guedioura,Premier League,Adlène Guédioura,Barclays Premier League,A. Guedioura
158,Sandro,Sandro,Guimarães Cordeiro,Premier League,Sandro Ranieri Guimarães Cordeiro,Barclays Premier League,S. Guimarães Cordeiro
159,Brad Guzan,Brad,Guzan,Premier League,Brad Guzan,Barclays Premier League,B. Guzan
160,Jordi Gómez,Jordi,Gómez García-Penche,Premier League,Jordi Gómez García-Penche,Barclays Premier League,J. Gómez García-Penche
161,Massadio Haidara,Massadio,Haidara,Premier League,Massadio Haidara,Barclays Premier League,M. Haidara
162,Ben Hamer,Ben,Hamer,Premier League,Ben Hamer,Barclays Premier League,B. Hamer
163,Dean Hammond,Dean,Hammond,Premier League,Dean Hammond,Barclays Premier League,D. Hammond
164,Brede Hangeland,Brede,Hangeland,Premier League,Brede Hangeland,Barclays Premier League,B. Hangeland
165,Steve Harper,Steve,Harper,Premier League,Steve Harper,Barclays Premier League,S. Harper
166,Joe Hart,Joe,Hart,Premier League,Joe Hart,Barclays Premier League,J. Hart
167,Eden Hazard,Eden,Hazard,Premier League,Eden Hazard,Barclays Premier League,E. Hazard
168,Tom Heaton,Tom,Heaton,Premier League,Tom Heaton,Barclays Premier League,T. Heaton
169,Jordan Henderson,Jordan,Henderson,Premier League,Jordan Henderson,Barclays Premier League,J. Henderson
170,Wayne Hennessey,Wayne,Hennessey,Premier League,Wayne Hennessey,Barclays Premier League,W. Hennessey
171,Karl Henry,Karl,Henry,Premier League,Karl Henry,Barclays Premier League,K. Henry
172,Chris Herd,Chris,Herd,Premier League,Chris Herd,Barclays Premier League,C. Herd
173,Abel Hernández,Abel,Hernández,Premier League,Abel Hernández,Barclays Premier League,A. Hernández
174,Javier Hernández,Javier,Hernández,Premier League,Javier Hernández,Barclays Premier League,J. Hernández
175,Ander Herrera,Ander,Herrera Aguera,Premier League,Ander Herrera Aguera,Barclays Premier League,A. Herrera Aguera
176,Steven Hewitt,Steven,Hewitt,Premier League,Steven Hewitt,Barclays Premier League,S. Hewitt
177,Tony Hibbert,Tony,Hibbert,Premier League,Tony Hibbert,Barclays Premier League,T. Hibbert
178,Clint Hill,Clint,Hill,Premier League,Clint Hill,Barclays Premier League,C. Hill
179,David Hoilett,David,Hoilett,Premier League,David Hoilett,Barclays Premier League,D. Hoilett
180,Lewis Holtby,Lewis,Holtby,Premier League,Lewis Holtby,Barclays Premier League,L. Holtby
181,Jos Hooiveld,Jos,Hooiveld,Premier League,Jos Hooiveld,Barclays Premier League,J. Hooiveld
182,Tom Hopper,Tom,Hopper,Premier League,Tom Hopper,Barclays Premier League,T. Hopper
183,Tim Howard,Tim,Howard,Premier League,Tim Howard,Barclays Premier League,T. Howard
184,Tom Huddlestone,Tom,Huddlestone,Premier League,Tom Huddlestone,Barclays Premier League,T. Huddlestone
185,Robert Huth,Robert,Huth,Premier League,Robert Huth,Barclays Premier League,R. Huth
186,Alan Hutton,Alan,Hutton,Premier League,Alan Hutton,Barclays Premier League,A. Hutton
187,Jordan Ibe,Jordan,Ibe,Premier League,Jordan Ibe,Barclays Premier League,J. Ibe
188,Thomas Ince,Thomas,Ince,Premier League,Thomas Ince,Barclays Premier League,T. Ince
189,Danny Ings,Danny,Ings,Premier League,Danny Ings,Barclays Premier League,D. Ings
190,Stephen Ireland,Stephen,Ireland,Premier League,Stephen Ireland,Barclays Premier League,S. Ireland
191,Lloyd Isgrove,Lloyd,Isgrove,Premier League,Lloyd Isgrove,Barclays Premier League,L. Isgrove
192,Mauricio Isla,Mauricio,Isla,Premier League,Mauricio Isla,Barclays Premier League,M. Isla
193,Branislav Ivanovic,Branislav,Ivanovic,Premier League,Branislav Ivanovic,Barclays Premier League,B. Ivanovic
194,Jussi Jaaskelainen,Jussi,Jaaskelainen,Premier League,Jussi Jaaskelainen,Barclays Premier League,J. Jaaskelainen
195,Phil Jagielka,Phil,Jagielka,Premier League,Phil Jagielka,Barclays Premier League,P. Jagielka
196,Eldin Jakupovic,Eldin,Jakupovic,Premier League,Eldin Jakupovic,Barclays Premier League,E. Jakupovic
197,Matthew James,Matthew,James,Premier League,Matthew James,Barclays Premier League,M. James
198,Reece James,Reece,James,Premier League,Reece James,Barclays Premier League,R. James
199,Daryl Janmaat,Daryl,Janmaat,Premier League,Daryl Janmaat,Barclays Premier League,D. Janmaat
200,Adnan Januzaj,Adnan,Januzaj,Premier League,Adnan Januzaj,Barclays Premier League,A. Januzaj
201,Matthew Jarvis,Matthew,Jarvis,Premier League,Matthew Jarvis,Barclays Premier League,M. Jarvis
202,Mile Jedinak,Mile,Jedinak,Premier League,Mile Jedinak,Barclays Premier League,M. Jedinak
203,Nikica Jelavic,Nikica,Jelavic,Premier League,Nikica Jelavic,Barclays Premier League,N. Jelavic
204,Carl Jenkinson,Carl,Jenkinson,Premier League,Carl Jenkinson,Barclays Premier League,C. Jenkinson
205,Adam Johnson,Adam,Johnson,Premier League,Adam Johnson,Barclays Premier League,A. Johnson
206,Andrew Johnson,Andrew,Johnson,Premier League,Andrew Johnson,Barclays Premier League,A. Johnson
207,Glen Johnson,Glen,Johnson,Premier League,Glen Johnson,Barclays Premier League,G. Johnson
208,Billy Jones,Billy,Jones,Premier League,Billy Jones,Barclays Premier League,B. Jones
209,Brad Jones,Brad,Jones,Premier League,Brad Jones,Barclays Premier League,B. Jones
210,David Jones,David,Jones,Premier League,David Frank Llwyd Jones,Barclays Premier League,D. Jones
211,Phil Jones,Phil,Jones,Premier League,Phil Jones,Barclays Premier League,P. Jones
212,Stevan Jovetic,Stevan,Jovetic,Premier League,Stevan Jovetic,Barclays Premier League,S. Jovetic
213,Lucas Jutkiewicz,Lucas,Jutkiewicz,Premier League,Lucas Jutkiewicz,Barclays Premier League,L. Jutkiewicz
214,Younes Kaboul,Younes,Kaboul,Premier League,Younes Kaboul,Barclays Premier League,Y. Kaboul
215,Shinji Kagawa,Shinji,Kagawa,Premier League,Shinji Kagawa,Barclays Premier League,S. Kagawa
216,Harry Kane,Harry,Kane,Premier League,Harry Kane,Barclays Premier League,H. Kane
217,Filipe Luis,Filipe,Kasmirski,Premier League,Filipe Luis Kasmirski,Barclays Premier League,F. Kasmirski
218,Michael Keane,Michael,Keane,Premier League,Michael Keane,Barclays Premier League,M. Keane
219,William Keane,William,Keane,Premier League,William Keane,Barclays Premier League,W. Keane
220,Martin Kelly,Martin,Kelly,Premier League,Martin Kelly,Barclays Premier League,M. Kelly
221,Michael Kightly,Michael,Kightly,Premier League,Michael Kightly,Barclays Premier League,M. Kightly
222,Andy King,Andy,King,Premier League,Andy King,Barclays Premier League,A. King
223,Aleksandar Kolarov,Aleksandar,Kolarov,Premier League,Aleksandar Kolarov,Barclays Premier League,A. Kolarov
224,Vincent Kompany,Vincent,Kompany,Premier League,Vincent Kompany,Barclays Premier League,V. Kompany
225,Paul Konchesky,Paul,Konchesky,Premier League,Paul Konchesky,Barclays Premier League,P. Konchesky
226,Anthony Konckaert,Anthony,Konckaert,Premier League,Anthony Konckaert,Barclays Premier League,A. Konckaert
227,Laurent Koscielny,Laurent,Koscielny,Premier League,Laurent Koscielny,Barclays Premier League,L. Koscielny
228,Cheikhou Kouyaté,Cheikhou,Kouyaté,Premier League,Cheikhou Kouyaté,Barclays Premier League,C. Kouyaté
229,Niko Kranjcar,Niko,Kranjcar,Premier League,Niko Kranjcar,Barclays Premier League,N. Kranjcar
230,Bojan Krkic,Bojan,Krkic,Premier League,Bojan Krkic,Barclays Premier League,B. Krkic
231,Tim Krul,Tim,Krul,Premier League,Tim Krul,Barclays Premier League,T. Krul
232,Daniel Lafferty,Daniel,Lafferty,Premier League,Daniel Lafferty,Barclays Premier League,D. Lafferty
233,Adam Lallana,Adam,Lallana,Premier League,Adam Lallana,Barclays Premier League,A. Lallana
234,Rickie Lambert,Rickie,Lambert,Premier League,Rickie Lambert,Barclays Premier League,R. Lambert
235,Erik Lamela,Erik,Lamela,Premier League,Erik Lamela,Barclays Premier League,E. Lamela
236,Frank Lampard,Frank,Lampard,Premier League,Frank Lampard,Barclays Premier League,F. Lampard
237,Sebastian Larsson,Sebastian,Larsson,Premier League,Sebastian Larsson,Barclays Premier League,S. Larsson
238,Joe Ledley,Joe,Ledley,Premier League,Joe Ledley,Barclays Premier League,J. Ledley
239,Ryan Ledson,Ryan,Ledson,Premier League,Ryan Ledson,Barclays Premier League,R. Ledson
240,Elliot Lee,Elliot,Lee,Premier League,Elliot Lee,Barclays Premier League,E. Lee
241,Aaron Lennon,Aaron,Lennon,Premier League,Aaron Lennon,Barclays Premier League,A. Lennon
242,Joleon Lescott,Joleon,Lescott,Premier League,Joleon Lescott,Barclays Premier League,J. Lescott
243,Anders Lindegaard,Anders,Lindegaard,Premier League,Anders Lindegaard,Barclays Premier League,A. Lindegaard
244,Jesse Lingard,Jesse,Lingard,Premier League,Jesse Lingard,Barclays Premier League,J. Lingard
245,Jake Livermore,Jake,Livermore,Premier League,Jake Livermore,Barclays Premier League,J. Livermore
246,Sebastian Lletget,Sebastian,Lletget,Premier League,Sebastian Lletget,Barclays Premier League,S. Lletget
247,Hugo Lloris,Hugo,Lloris,Premier League,Hugo Lloris,Barclays Premier League,H. Lloris
248,Kevin Long,Kevin,Long,Premier League,Kevin Long,Barclays Premier League,K. Long
249,Shane Long,Shane,Long,Premier League,Shane Long,Barclays Premier League,S. Long
250,Dejan Lovren,Dejan,Lovren,Premier League,Dejan Lovren,Barclays Premier League,D. Lovren
251,Matthew Lowton,Matthew,Lowton,Premier League,Matthew Lowton,Barclays Premier League,M. Lowton
252,Romelu Lukaku,Romelu,Lukaku,Premier League,Romelu Lukaku,Barclays Premier League,R. Lukaku
253,Matthew Macey,Matthew,Macey,Premier League,Matthew Macey,Barclays Premier League,M. Macey
254,Harry Maguire,Harry,Maguire,Premier League,Harry Maguire,Barclays Premier League,H. Maguire
255,Riyad Mahrez,Riyad,Mahrez,Premier League,Riyad Mahrez,Barclays Premier League,R. Mahrez
256,Ainsley Maitland-Niles,Ainsley,Maitland-Niles,Premier League,Ainsley Maitland-Niles,Barclays Premier League,A. Maitland-Niles
257,Sadio Mane,Sadio,Mane,Premier League,Sadio Mane,Barclays Premier League,S. Mane
258,Eliaquim Mangala,Eliaquim,Mangala,Premier League,Eliaquim Mangala,Barclays Premier League,E. Mangala
259,Vito Mannone,Vito,Mannone,Premier League,Vito Mannone,Barclays Premier League,V. Mannone
260,Javi Manquillo,Javier,Manquillo Gaitán,Premier League,Javier Manquillo Gaitán,Barclays Premier League,J. Manquillo Gaitán
261,Adrian Mariappa,Adrian,Mariappa,Premier League,Adrian Mariappa,Barclays Premier League,A. Mariappa
262,Lazar Markovic,Lazar,Markovic,Premier League,Lazar Markovic,Barclays Premier League,L. Markovic
263,Dean Marney,Dean,Marney,Premier League,Dean Marney,Barclays Premier League,D. Marney
264,Emiliano Martinez,Damian,Martinez,Premier League,Damian Emiliano  Martinez,Barclays Premier League,D. Martinez
265,Ryan Mason,Ryan,Mason,Premier League,Ryan Glen Mason,Barclays Premier League,R. Mason
266,Juan Mata,Juan,Mata,Premier League,Juan Manuel Garcia Mata,Barclays Premier League,J. Mata
267,Nemanja Matic,Nemanja,Matic,Premier League,Nemanja Matic,Barclays Premier League,N. Matic
268,Charalampos Mavrias,Charalampos,Mavrias,Premier League,Charalampos Mavrias,Barclays Premier League,C. Mavrias
269,Emmanuel Mayuka,Emmanuel,Mayuka,Premier League,Emmanuel Mayuka,Barclays Premier League,E. Mayuka
270,James McArthur,James,McArthur,Premier League,James McArthur,Barclays Premier League,J. McArthur
