rowNumber,Team,Number,Position,FullName,Club,ClubCountry,DateOfBirth,IsCaptain
69,France,1,GK,Hugo Lloris,Olympique Lyonnais,FRA,12/26/1986,FALSE
70,France,2,DF,Bacary Sagna,Arsenal F.C.,ENG,2/14/1983,FALSE
71,France,3,DF,,FC Barcelona,ESP,9/11/1979,FALSE
72,France,4,DF,,Olympique Lyonnais,FRA,11/10/1979,FALSE
73,France,5,DF,William Gallas,Arsenal F.C.,ENG,8/17/1977,FALSE
74,France,6,DF,Marc Planus,FC Girondins de Bordeaux,FRA,3/7/1982,FALSE
75,France,7,MF,,FC Bayern Munich,GER,4/7/1983,FALSE
76,France,8,MF,Yoann Gourcuff,Olympique Lyonnais,FRA,7/11/1986,FALSE
77,France,9,FW,,Panathinaikos F.C.,GRE,8/12/1981,FALSE
78,France,10,FW,Sidney Govou,Olympique Lyonnais,FRA,7/27/1979,FALSE
79,France,11,FW,,Olympique de Marseille,FRA,12/5/1985,FALSE
80,France,12,FW,Thierry Henry,FC Barcelona,ESP,8/17/1977,FALSE
81,France,13,DF,Patrice Evra,Manchester United F.C.,ENG,5/15/1981,TRUE
82,France,14,MF,,Olympique Lyonnais,FRA,9/10/1983,FALSE
83,France,15,MF,Florent Malouda,Chelsea F.C.,ENG,6/13/1980,FALSE
84,France,16,GK,Steve Mandanda,Olympique de Marseille,FRA,3/28/1985,FALSE
85,France,17,DF,,Arsenal F.C.,ENG,8/11/1980,FALSE
86,France,18,MF,Alou Diarra,FC Girondins de Bordeaux,FRA,7/15/1981,FALSE
87,France,19,MF,Abou Diaby,Arsenal F.C.,ENG,5/11/1986,FALSE
88,France,20,MF,Mathieu Valbuena,Olympique de Marseille,FRA,9/28/1984,FALSE
89,France,21,FW,Nicolas Anelka,Chelsea F.C.,ENG,3/14/1979,FALSE
90,France,22,DF,,Arsenal F.C.,ENG,7/26/1985,FALSE
91,France,23,GK,,FC Girondins de Bordeaux,FRA,12/30/1981,FALSE
92,Argentina,1,GK,Diego Pozo,Club AtlÃ©tico ColÃ³n,ARG,2/16/1978,FALSE
93,Argentina,2,DF,,FC Bayern Munich,GER,12/20/1980,FALSE
94,Argentina,3,DF,,Estudiantes de La Plata,ARG,7/31/1981,FALSE
95,Argentina,4,DF,,A.S. Roma,ITA,4/12/1981,FALSE
96,Argentina,5,MF,Mario Bolatti,ACF Fiorentina,ITA,2/17/1985,FALSE
97,Argentina,6,DF,Gabriel Heinze,Olympique de Marseille,FRA,4/19/1978,FALSE
98,Argentina,7,MF,,S.L. Benfica,POR,2/14/1988,FALSE
99,Argentina,8,MF,,Estudiantes de La Plata,ARG,3/9/1975,FALSE
100,Argentina,9,FW,,Real Madrid C.F.,ESP,12/10/1987,FALSE
101,Argentina,10,FW,Lionel Messi,FC Barcelona,ESP,6/24/1987,FALSE
102,Argentina,11,FW,,Manchester City F.C.,ENG,2/5/1984,FALSE
103,Argentina,12,DF,,Club AtlÃ©tico ColÃ³n,ARG,7/14/1979,FALSE
104,Argentina,13,DF,Walter Samuel,F.C. Internazionale Milano,ITA,3/23/1978,FALSE
105,Argentina,14,MF,Javier Mascherano,Liverpool F.C.,ENG,6/8/1984,TRUE
106,Argentina,15,DF,,Club AtlÃ©tico VÃ©lez SÃ¡rsfield,ARG,2/12/1988,FALSE
107,Argentina,16,FW,,AtlÃ©tico Madr,ESP,6/2/1988,FALSE
108,Argentina,17,MF,,Newcastle United F.C.,ENG,7/5/1983,FALSE
109,Argentina,18,FW,,Boca Junio,ARG,11/7/1973,FALSE
110,Argentina,19,FW,Diego Milito,F.C. Internazionale Milano,ITA,6/12/1979,FALSE
111,Argentina,20,MF,,Liverpool F.C.,ENG,1/2/1981,FALSE
112,Argentina,21,GK,Mariano AndÃºjar,Calcio Catania,ITA,7/30/1983,FALSE
113,Argentina,22,GK,Sergio Romero,AZ (football club),NED,2/22/1987,FALSE
114,Argentina,23,MF,Javier Pastore,U.S. CittÃ  di Palermo,ITA,6/20/1989,FALSE
115,Nigeria,1,GK,Vincent Enyeama,Hapoel Tel Aviv F.C.,ISR,8/29/1982,FALSE
116,Nigeria,2,DF,Joseph Yobo,Everton F.C.,ENG,9/6/1980,TRUE
117,Nigeria,3,DF,Taye Taiwo,Olympique de Marseille,FRA,4/16/1985,FALSE
118,Nigeria,4,FW,Nwankwo Kanu,Portsmouth F.C.,ENG,8/1/1976,FALSE
119,Nigeria,5,DF,Rabiu Afolabi,FC Red Bull Salzburg,AUT,4/18/1980,FALSE
120,Nigeria,6,DF,Danny Shittu,Bolton Wanderers F.C.,ENG,9/2/1980,FALSE
121,Nigeria,7,FW,John Utaka,Portsmouth F.C.,ENG,1/8/1982,FALSE
122,Nigeria,8,FW,Yakubu Aiyegbeni,Everton F.C.,ENG,11/22/1982,FALSE
123,Nigeria,9,FW,Obafemi Martins,VfL Wolfsbu,GER,10/28/1984,FALSE
124,Nigeria,10,FW,,FC Sochaux-MontbÃ©liard,FRA,10/10/1988,FALSE
125,Nigeria,11,FW,Peter Odemwingie,FC Lokomotiv Moscow,RUS,7/15/1981,FALSE
126,Nigeria,12,FW,Kalu Uche,UD AlmerÃ­a,ESP,11/15/1982,FALSE
127,Nigeria,13,MF,Ayila Yussuf,FC Dynamo Kyiv,UKR,11/4/1984,FALSE
128,Nigeria,14,MF,Sani Kaita,FC Alania Vladikavkaz,RUS,5/2/1986,FALSE
129,Nigeria,15,MF,Lukman Haruna,AS Monaco FC,FRA,4/12/1990,FALSE
130,Nigeria,16,GK,Austin Ejide,Hapoel Petah Tikva F.C.,ISR,4/8/1984,FALSE
131,Nigeria,17,DF,Chidi Odiah,PFC CSKA Moscow,RUS,12/17/1983,FALSE
132,Nigeria,18,FW,Victor Nsofor Obinna,MÃ¡laga CF,ESP,3/25/1987,FALSE
133,Nigeria,19,FW,Chinedu Obasi,TSG 1899 Hoffenheim,GER,6/1/1986,FALSE
134,Nigeria,20,MF,Dickson Etuhu,Fulham F.C.,ENG,6/8/1982,FALSE
135,Nigeria,21,DF,,Stade Rennais F.C.,FRA,1/20/1988,FALSE
136,Nigeria,22,DF,Dele Adeleye,Sparta Rotterd,NED,12/25/1988,FALSE
137,Nigeria,23,GK,Dele Aiyenugba,Bnei Yehuda Tel Aviv F.C.,ISR,11/20/1983,FALSE
138,Korea Republic,1,GK,Lee Woon-Jae,Suwon Samsung Bluewin,KOR,4/26/1973,FALSE
139,Korea Republic,2,DF,Oh Beom-Seok,Ulsan Hyundai FC,KOR,7/29/1984,FALSE
140,Korea Republic,3,DF,Kim Hyung-Il,Pohang Steele,KOR,4/27/1984,FALSE
141,Korea Republic,4,MF,Cho Yong-Hyung,Jeju United FC,KOR,11/3/1983,FALSE
142,Korea Republic,5,MF,Kim Nam-Il,FC Tom Tomsk,RUS,3/14/1977,FALSE
143,Korea Republic,6,MF,Kim Bo-Kyung,Oita Trini,JPN,10/6/1989,FALSE
144,Korea Republic,7,MF,Park Ji-Sung,Manchester United F.C.,ENG,2/25/1981,TRUE
145,Korea Republic,8,FW,Kim Jung-Woo,Sangju Sangmu Phoenix,KOR,5/9/1982,FALSE
146,Korea Republic,9,FW,Ahn Jung-Hwan,Dalian Shide F.C.,CHN,1/27/1976,FALSE
147,Korea Republic,10,FW,Park Chu-Young,AS Monaco FC,FRA,7/10/1985,FALSE
148,Korea Republic,11,FW,Lee Seung-Yeoul,FC Seo,KOR,3/6/1989,FALSE
149,Korea Republic,12,DF,Lee Young-Pyo,Al-Hilal Riyadh,KSA,4/23/1977,FALSE
150,Korea Republic,13,MF,Kim Jae-Sung,Pohang Steele,KOR,10/3/1983,FALSE
151,Korea Republic,14,DF,Lee Jung-Soo,Kashima Antle,JPN,1/8/1980,FALSE
152,Korea Republic,15,DF,Kim Dong-Jin,Ulsan Hyundai FC,KOR,1/29/1982,FALSE
153,Korea Republic,16,MF,Ki Sung-Yong,Celtic F.C.,SCO,1/24/1989,FALSE
154,Korea Republic,17,MF,Lee Chung-Yong,Bolton Wanderers F.C.,ENG,7/2/1988,FALSE
155,Korea Republic,18,GK,Jung Sung-Ryong,Seongnam Ilhwa Chun,KOR,1/4/1985,FALSE
156,Korea Republic,19,FW,Yeom Ki-Hun,Suwon Samsung Bluewin,KOR,3/30/1983,FALSE
157,Korea Republic,20,FW,Lee Dong-Gook,Jeonbuk Hyundai Moto,KOR,4/29/1979,FALSE
158,Korea Republic,21,GK,Kim Young-Kwang,Ulsan Hyundai FC,KOR,6/28/1983,FALSE
159,Korea Republic,22,DF,Cha Du-Ri,SC Freibu,GER,7/25/1980,FALSE
160,Korea Republic,23,DF,Kang Min-Soo,Suwon Samsung Bluewin,KOR,2/14/1986,FALSE
161,Greece,1,GK,Kostas Chalkias,PAOK F.C.,GRE,5/30/1974,FALSE
162,Greece,2,DF,Giourkas Seitaridis,Panathinaikos F.C.,GRE,6/4/1981,FALSE
163,Greece,3,DF,Christos Patsatzoglou,AC Omonia,CYP,3/19/1979,FALSE
164,Greece,4,MF,Nikos Spiropoulos,Panathinaikos F.C.,GRE,10/10/1983,FALSE
165,Greece,5,DF,Vangelis Moras,Bologna F.C. 1909,ITA,8/18/1981,FALSE
166,Greece,6,MF,Alexandros Tziolis,A.C. Siena,ITA,2/13/1985,FALSE
167,Greece,7,FW,Georgios Samaras,Celtic F.C.,SCO,2/21/1985,FALSE
168,Greece,8,DF,Avraam Papadopoulos,Olympiacos F.C.,GRE,1/3/1984,FALSE
169,Greece,9,FW,Angelos Charisteas,1. FC NÃ¼rnbe,GER,2/9/1980,FALSE
170,Greece,10,MF,Giorgos Karagounis,Panathinaikos F.C.,GRE,3/6/1977,TRUE
171,Greece,11,DF,Loukas Vyntra,Panathinaikos F.C.,GRE,2/5/1981,FALSE
172,Greece,12,GK,Alexandros Tzorvas,Panathinaikos F.C.,GRE,8/12/1982,FALSE
173,Greece,13,GK,Michalis Sifakis,Aris Thessaloniki F.C.,GRE,9/9/1984,FALSE
174,Greece,14,FW,Dimitris Salpingidis,Panathinaikos F.C.,GRE,8/18/1981,FALSE
175,Greece,15,DF,Vasilis Torosidis,Olympiacos F.C.,GRE,6/10/1985,FALSE
176,Greece,16,DF,Sotirios Kyrgiakos,Liverpool F.C.,ENG,7/23/1979,FALSE
177,Greece,17,FW,Theofanis Gekas,Hertha B,GER,5/23/1980,FALSE
178,Greece,18,MF,Sotiris Ninis,Panathinaikos F.C.,GRE,4/3/1990,FALSE
179,Greece,19,DF,Sokratis Papastathopoulos,Genoa C.F.C.,ITA,6/9/1988,FALSE
180,Greece,20,FW,Pantelis Kapetanos,FC Steaua BucureÅŸti,ROM,6/8/1983,FALSE
181,Greece,21,MF,Kostas Katsouranis,Panathinaikos F.C.,GRE,6/21/1979,FALSE
182,Greece,22,DF,Stelios Malezas,PAOK F.C.,GRE,3/11/1985,FALSE
183,Greece,23,MF,Athanassios Prittas,Aris Thessaloniki F.C.,GRE,1/9/1979,FALSE
184,England,1,GK,David James (footballer),Portsmouth F.C.,ENG,8/1/1970,FALSE
185,England,2,DF,Glen Johnson (English footballer),Liverpool F.C.,ENG,8/23/1984,FALSE
186,England,3,DF,Ashley Cole,Chelsea F.C.,ENG,12/20/1980,FALSE
187,England,4,MF,Steven Gerrard,Liverpool F.C.,ENG,5/30/1980,TRUE
188,England,5,DF,Michael Dawson (footballer),Tottenham Hotspur F.C.,ENG,11/18/1983,FALSE
189,England,6,DF,John Terry,Chelsea F.C.,ENG,12/7/1980,FALSE
190,England,7,MF,Aaron Lennon,Tottenham Hotspur F.C.,ENG,4/16/1987,FALSE
191,England,8,MF,Frank Lampard,Chelsea F.C.,ENG,6/20/1978,FALSE
192,England,9,FW,Peter Crouch,Tottenham Hotspur F.C.,ENG,1/30/1981,FALSE
193,England,10,FW,Wayne Rooney,Manchester United F.C.,ENG,10/24/1985,FALSE
194,England,11,MF,Joe Cole,Chelsea F.C.,ENG,11/8/1981,FALSE
195,England,12,GK,Robert Green,West Ham United F.C.,ENG,1/18/1980,FALSE
196,England,13,DF,Stephen Warnock,Aston Villa F.C.,ENG,12/12/1981,FALSE
197,England,14,MF,Gareth Barry,Manchester City F.C.,ENG,2/23/1981,FALSE
198,England,15,DF,Matthew Upson,West Ham United F.C.,ENG,4/18/1979,FALSE
199,England,16,MF,James Milner,Aston Villa F.C.,ENG,1/4/1986,FALSE
200,England,17,MF,Shaun Wright-Phillips,Manchester City F.C.,ENG,10/25/1981,FALSE
201,England,18,DF,Jamie Carragher,Liverpool F.C.,ENG,1/28/1978,FALSE
202,England,19,FW,Jermain Defoe,Tottenham Hotspur F.C.,ENG,10/7/1982,FALSE
203,England,20,DF,Ledley King,Tottenham Hotspur F.C.,ENG,10/12/1980,FALSE
204,England,21,FW,Emile Heskey,Aston Villa F.C.,ENG,1/11/1978,FALSE
205,England,22,MF,Michael Carrick,Manchester United F.C.,ENG,7/28/1981,FALSE
206,England,23,GK,Joe Hart,Birmingham City F.C.,ENG,4/19/1987,FALSE
207,United States,1,GK,Tim Howard,Everton F.C.,ENG,3/6/1979,FALSE
208,United States,2,DF,Jonathan Spector,West Ham United F.C.,ENG,3/1/1986,FALSE
209,United States,3,DF,Carlos Bocanegra,Stade Rennais F.C.,FRA,5/25/1979,TRUE
210,United States,4,MF,Michael Bradley,Borussia MÃ¶nchengladba,GER,7/31/1987,FALSE
211,United States,5,DF,Oguchi Onyewu,A.C. Milan,ITA,5/13/1982,FALSE
212,United States,6,DF,Steve Cherundolo,"Hannover ",GER,2/19/1979,FALSE
213,United States,7,MF,DaMarcus Beasley,Rangers F.C.,SCO,5/24/1982,FALSE
214,United States,8,MF,Clint Dempsey,Fulham F.C.,ENG,3/9/1983,FALSE
215,United States,9,FW,Herculez Gomez,Puebla F.C.,MEX,4/6/1982,FALSE
216,United States,10,MF,Landon Donovan,Los Angeles Gala,USA,3/4/1982,FALSE
217,United States,11,MF,Stuart Holden,Bolton Wanderers F.C.,ENG,8/1/1985,FALSE
218,United States,12,DF,Jonathan Bornstein,C.D. Chivas USA,USA,11/7/1984,FALSE
219,United States,13,MF,Ricardo Clark,Eintracht Frankfu,GER,3/10/1983,FALSE
220,United States,14,FW,Edson Buddle,Los Angeles Gala,USA,5/21/1981,FALSE
221,United States,15,DF,Jay DeMerit,Watford F.C.,ENG,12/4/1979,FALSE
222,United States,16,MF,,C.F. Pachuca,MEX,10/29/1987,FALSE
223,United States,17,FW,Jozy Altidore,Hull City A.F.C.,ENG,11/6/1989,FALSE
224,United States,18,GK,Brad Guzan,Aston Villa F.C.,ENG,9/9/1984,FALSE
225,United States,19,MF,Maurice Edu,Rangers F.C.,SCO,4/18/1986,FALSE
226,United States,20,FW,Robbie Findley,Real Salt La,USA,8/4/1985,FALSE
227,United States,21,DF,Clarence Goodson,IK Start,NOR,5/17/1982,FALSE
228,United States,22,MF,Benny Feilhaber,Aarhus Gymnastikforening,DEN,1/19/1985,FALSE
229,United States,23,GK,Marcus Hahnemann,Wolverhampton Wanderers F.C.,ENG,6/15/1972,FALSE
230,United States,1,GK,,ASO Chl,ALG,9/28/1977,FALSE
231,United States,2,DF,Madjid Bougherra,Rangers F.C.,SCO,10/7/1982,FALSE
232,United States,3,DF,Nadir Belhadj,Portsmouth F.C.,ENG,6/18/1982,FALSE
233,United States,4,DF,Antar Yahia,VfL Boch,GER,3/21/1982,TRUE
234,United States,5,DF,Rafik Halliche,C.D. Nacional,POR,9/2/1986,FALSE
235,United States,6,MF,Yazid Mansouri,FC Lorient,FRA,2/25/1978,FALSE
236,United States,7,MF,Ryad Boudebouz,FC Sochaux-MontbÃ©liard,FRA,2/19/1990,FALSE
237,United States,8,MF,Medhi Lacen,Racing de Santander,ESP,1984-15-5,FALSE
238,United States,9,FW,Abdelkader Ghezzal,A.C. Siena,ITA,12/5/1984,FALSE
239,United States,10,FW,,FC Istres,FRA,2/7/1975,FALSE
240,United States,11,FW,Rafik Djebbour,AEK Athens F.C.,GRE,3/8/1984,FALSE
241,United States,12,DF,,Eintracht Frankfu,GER,3/28/1986,FALSE
242,United States,13,FW,Karim Matmour,Borussia MÃ¶nchengladba,GER,6/25/1984,FALSE
243,United States,14,DF,,ES SÃ©t,ALG,7/29/1981,FALSE
244,United States,15,MF,Karim Ziani,VfL Wolfsbu,GER,8/17/1982,FALSE
245,United States,16,GK,Faouzi Chaouchi,ES SÃ©t,ALG,12/5/1984,FALSE
246,United States,17,MF,,Wolverhampton Wanderers F.C.,ENG,11/12/1985,FALSE
247,United States,18,DF,Carl Medjani,AC Ajaccio,FRA,5/15/1985,FALSE
248,United States,19,MF,Hassan Yebda,Portsmouth F.C.,ENG,4/14/1984,FALSE
249,United States,20,DF,Djamel Mesbah,U.S. Lecce,ITA,10/9/1984,FALSE
250,United States,21,MF,Foued Kadir,Valenciennes FC,FRA,12/5/1983,FALSE
251,United States,22,MF,Djamel Abdoun,FC Nantes,FRA,2/14/1986,FALSE
252,United States,23,GK,,PFC Slavia Sofia,BUL,4/25/1986,FALSE
253,Algeria,1,GK,,ASO Chl,ALG,9/28/1977,FALSE
254,Algeria,2,DF,Madjid Bougherra,Rangers F.C.,SCO,10/7/1982,FALSE
255,Algeria,3,DF,Nadir Belhadj,Portsmouth F.C.,ENG,6/18/1982,FALSE
256,Algeria,4,DF,Antar Yahia,VfL Boch,GER,3/21/1982,TRUE
257,Algeria,5,DF,Rafik Halliche,C.D. Nacional,POR,9/2/1986,FALSE
258,Algeria,6,MF,Yazid Mansouri,FC Lorient,FRA,2/25/1978,FALSE
259,Algeria,7,MF,Ryad Boudebouz,FC Sochaux-MontbÃ©liard,FRA,2/19/1990,FALSE
260,Algeria,8,MF,Medhi Lacen,Racing de Santander,ESP,1984-15-5,FALSE
261,Algeria,9,FW,Abdelkader Ghezzal,A.C. Siena,ITA,12/5/1984,FALSE
262,Algeria,10,FW,,FC Istres,FRA,2/7/1975,FALSE
263,Algeria,11,FW,Rafik Djebbour,AEK Athens F.C.,GRE,3/8/1984,FALSE
264,Algeria,12,DF,,Eintracht Frankfu,GER,3/28/1986,FALSE
265,Algeria,13,FW,Karim Matmour,Borussia MÃ¶nchengladba,GER,6/25/1984,FALSE
266,Algeria,14,DF,,ES SÃ©t,ALG,7/29/1981,FALSE
267,Algeria,15,MF,Karim Ziani,VfL Wolfsbu,GER,8/17/1982,FALSE
268,Algeria,16,GK,Faouzi Chaouchi,ES SÃ©t,ALG,12/5/1984,FALSE
269,Algeria,17,MF,,Wolverhampton Wanderers F.C.,ENG,11/12/1985,FALSE
270,Algeria,18,DF,Carl Medjani,AC Ajaccio,FRA,5/15/1985,FALSE
271,Algeria,19,MF,Hassan Yebda,Portsmouth F.C.,ENG,4/14/1984,FALSE
272,Algeria,20,DF,Djamel Mesbah,U.S. Lecce,ITA,10/9/1984,FALSE
273,Algeria,21,MF,Foued Kadir,Valenciennes FC,FRA,12/5/1983,FALSE
274,Algeria,22,MF,Djamel Abdoun,FC Nantes,FRA,2/14/1986,FALSE
275,Algeria,23,GK,,PFC Slavia Sofia,BUL,4/25/1986,FALSE
276,Slovenia,1,GK,,Udinese Calcio,ITA,7/14/1984,FALSE
277,Slovenia,2,DF,,1. FC KÃ¶,GER,5/1/1984,FALSE
278,Slovenia,3,DF,,NK Maribor,SVN,8/25/1985,FALSE
279,Slovenia,4,DF,,K.A.A. Gent,BEL,3/9/1983,FALSE
280,Slovenia,5,DF,,Grenoble Foot 38,FRA,7/9/1982,FALSE
281,Slovenia,6,DF,Branko IliÄ,FC Lokomotiv Moscow,RUS,2/6/1983,FALSE
282,Slovenia,7,FW,Nejc PeÄnik,C.D. Nacional,POR,1/3/1986,FALSE
283,Slovenia,8,MF,Robert Koren,West Bromwich Albion F.C.,ENG,9/20/1980,TRUE
284,Slovenia,9,FW,Zlatan LjubijankiÄ,K.A.A. Gent,BEL,12/15/1983,FALSE
285,Slovenia,10,FW,Valter Birsa,AJ Auxerre,FRA,8/7/1986,FALSE
286,Slovenia,11,FW,Milivoje NovakoviÄ,1. FC KÃ¶,GER,5/18/1979,FALSE
287,Slovenia,12,GK,Jasmin HandanoviÄ,A.C. Mantova,ITA,1/28/1978,FALSE
288,Slovenia,13,DF,,A.C. Chievo Verona,ITA,5/17/1986,FALSE
289,Slovenia,14,FW,Zlatko DediÄ,VfL Boch,GER,5/10/1984,FALSE
290,Slovenia,15,MF,Rene Krhin,F.C. Internazionale Milano,ITA,5/21/1990,FALSE
291,Slovenia,16,GK,,Sparta Rotterd,NED,2/1/1980,FALSE
292,Slovenia,17,MF,,WisÅ‚a KrakÃ,POL,9/6/1984,FALSE
293,Slovenia,18,MF,,Larissa F.C.,GRE,4/25/1979,FALSE
294,Slovenia,19,DF,Suad FilekoviÄ,NK Maribor,SVN,9/16/1978,FALSE
295,Slovenia,20,MF,Andrej Komac,Maccabi Tel Aviv F.C.,ISR,12/4/1979,FALSE
296,Slovenia,21,MF,Dalibor StevanoviÄ,Vites,NED,9/27/1984,FALSE
297,Slovenia,22,DF,Matej MavriÄ,TuS Koble,GER,1/29/1979,FALSE
298,Slovenia,23,FW,,FC Groningen,NED,1/13/1989,FALSE
299,Germany,1,GK,Manuel Neuer,FC Schalke 04,GER,3/27/1986,FALSE
300,Germany,2,DF,Marcell Jansen,"Hamburger ",GER,11/4/1985,FALSE
301,Germany,3,DF,Arne Friedrich,Hertha B,GER,5/29/1979,FALSE
