rowNumber,BLK0354,Shop0265,file_name,Price0364,0021,Ammunition1476,Post0326,Firearms0273,Ads0988
0,Missoula  (Public places in and around missoula. Up to 30 - 4),Firearms,8C3B38D5F0BC1C8BC516EF7B3BD434627974EAA88762D66C8673C1A09E673503.html,500.00,Saiga 7.62 x 39,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",2635,"Rifles For Sale, Trade and Wanted","  Saiga 308 modified, shortened barrel, trigger job, ammo, and mags"
0,Butte,Firearms,93912CFBC73902953A967F423B0D02BD074F1D935B111435E80CE73B747624FF.html,900.00,DPMS AR-15,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",1347,"Rifles For Sale, Trade and Wanted","  DPMS LR308 CUSTOM     AR15 Custom Laser Engraved Uppers Stripped A3 Style     DPMS AR-15 (.223/5.56) w/ many Magpul upgrades for sale/trade     DPMS Stainless 5.56 Oracle Brand New In Box     AR15 Scope 2- 7     DPMS AR-10 .308"
0,Florence  (yes),Firearms,9BB772A0AB923EB0FBBB358F9FC937960E6CD33807165A1E0BBF03063A9DACB3.html,500.00,Mossberg 500 Pistol Grip Shotgun 20GA,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",2261,"Shotguns For Sale, Trade and Wanted","  Mossberg Chainsaw     Mossberg 500c     pistols for sale     500 rounds 9mm 124g CPHP $235     Mossberg 270     Mossberg 930 JM Pro 24 9+1 12 Ga. Semi-Auto     Mossberg 500 Custom Button Head Pins"
0,"Columbia Falls  (Kalispell, Whitefish, Bigfork, Lakeside, Flathead)",Firearms,B918655C90F6FBF25264B9AE95FA29A037809325678921D43E0F819456D3EBFC.html,550.00,Mossberg 930 JM Pro 24 9+1 12 Ga. Semi-Auto,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",1959,"Shotguns For Sale, Trade and Wanted","  Mossberg Chainsaw     Mossberg 500c     Mossberg 270     Mossberg 500 Custom Button Head Pins     12 rifle cub cabinet/display case     JM Stamped Marlin Stainless 30-30 Never fired     Mossberg 500 Pistol Grip Shotgun 20GA"
0,Helena,,C94CCD7B46D16871CBA558038E9BAED10938BBE8E3D65F9EAD3D1E582EB8599F.html,130.00,7.62 x 39 ammo 500 rounds $130 - Bozeman MT,,1724,,"  Ammo for sale, 270 and 7mm08     500 rounds 9mm 124g CPHP $235     AMMO 40 SW 165 gr. Ultra Max HP"
0,"Helena  (Bozeman, Great Falls, Butte, Townsend, Wolf Creek,)",Firearms,CDA88A547648A3EEE86E3E79D69842CAD87B96C69CA495EEB0405E77BD2F97BA.html,1150.00,AR-15 Rock River Arms 5.56 /223 New with lots of extras,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",2172,"Rifles For Sale, Trade and Wanted","  Rock Island Model: 2011     223/.556 Rem      AR15 Custom Laser Engraved Uppers Stripped A3 Style     Rock Island Armory Officers Edition .45 acp     AR15 Scope 2- 7"
0,Helena,Firearms,D6888623F15D270D13864DEA27DE6C6247A95DB63DE6ABC21EAEAE1B12BA349C.html,325.00,Magnum Research Micro Desert eagle 380,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",2323,"Handguns For Sale, Trade and Wanted","  Desert Eagle 50AE     Magnum Research Desert Eagle     Magnum Research Desert Eagle Mk XIX .50 AE"
0,Missoula  (Missoula),,E52EFB75F3667DBEA998A31294BE7503D5F2F52B1731617FD2DB2C0FA09E9AF4.html,600.00,300 Savage Bolt Action - Helena MT,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",1293,,"  Savage .17 HMR (93R17), Thumbhole, Redfield 3x9, Harris Bipod, 100+ rounds ammo     Savage tactical .308. Stainless fluted heavy barrel, composite tac stock     Savage 110 .30-06 with extras $450     Savage 110BA 300 Win Mag (WTB)     300 win mag Browning auto, made in germany     Savage 6.5 x 284     SAVAGE 30-06 with 3/9 Bushnell scope.     Savage Mark II .22lr wit accu trigger     Savage 30-06 Lefthanded Rifle for Sale     Savage model 11 hunter XL 7 mm 08"
0,Butte  (Butte),Firearms,E7A2EE4D8CAE58A4B21A057ACB0BB672EE866C6D570D8C6EF47D57FDC26B1181.html,,Will trade new Stag M4 Ar15 for quality AK47,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",1334,"Rifles For Sale, Trade and Wanted","  AR15 Custom Laser Engraved Uppers Stripped A3 Style     M48 Mauser Yugoslavian 8mm Rifle Very Good Condition     AR15 Scope 2- 7     Quality Arms AR 6.5 Grendel"
0,Kalispell,Firearms,ED4D3E9DDA2998943A95F12567F578959CFB57B64C3BC6F2DD28B6F5FC92F589.html,500.00,Smith and Wesson MP 45 with night sights,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",2722,"Handguns For Sale, Trade and Wanted","  45 ACP 250 Rounds     Smith  Wesson Model: SD9VE     Smith  Wesson MP 15, New     Smith  Wesson 22A-1     45 AUTO +P Starline brass casings (1000 ea per box)     45 colt     Smith and Wesson Model 422     45acp Brass     Smith and Wesson Sigma 9mm 16 rounds Mag     Smith  Wesson MP9 Shield"
0,"Plentywood  (Scobey, Glascow, Wolf Point)",,F1FA4520CC3B5D27A95E64135FF1AC65D7A7B31DCEEB9F95DC0B74BABD832519.html,500.00,Remington 770 w/ Scope - Helena MT,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",2006,,"  Winchester coyote 22-250      wanted glock 34      WTB - Ramshot Big Game powder     Will trade new Stag M4 Ar15 for quality AK47     Remington 870 Express Magnum for Sale     WTB: Comptac Minotaur Holster for Glock 19 Gen 4     WOW Windicator Revolver .357 2  38special     Walther Pk380     wolf 223 ammo     WTB: Glock 30S - New/like new preferred"
0,Kalispell,Firearms,FE7CC110694FBDB201BD6C9AD15DFCCA8C72736B6324888267FB4C3A87D372A2.html,900.00,Romanian M70 Ak-47,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",2470,"Rifles For Sale, Trade and Wanted","  Romanian AK-47"
