rowNumber,0006,Location0408,US0756,On0398,Price0373,No0426,file_name,In0403,Favorite0538,post0299
0,For Sale: 10 Tapco 30 round AK-47 magazines,"North Reno, Reno, Nevada",2015,"Saturday, November 14, 2015",65,,22859C92CD0E30F301C52864EAFF73E8BFF5A38E71C4B392B82FC1BEE03968DB.html,Magazines,"Standard ribbed for your AK's pleasure 30 round polymer AK mags. I'm sure we all know what they look like. Never used, but some are numbered on the bottom. Selling the lot for $65.00",4845029
0,For Sale: Daniel Defense complete upper,"Suffolk, Hampton Roads, Virginia",2015,"Tuesday, November 17, 2015","1,000",Manufacturer:    Daniel Defense    Caliber:    223/5.56 NATO    Action:    Semi-automatic    Firearm Type:    Rifle,24DECCEC68A44CF7250333166D7DBE7A41CBF63AB92FBE2DFAAC8870B5B84E95.html,Rifles,"Patriot brown. 500 rounds fired. 14.5"" LW barrel. Includes bcg and charging handle. Aimpoint is not included but may be negotiated. DD flash hider price is obo",4869656
0,"For Sale: SW model 19-5, .357  .38 special","Euless, mid cities DFW, Dallas, Texas",2015,"Sunday, November 15, 2015",650,Manufacturer:    Smith  Wesson    Caliber:    357 Magnum    Action:    Double / Single Action    Firearm Type:    Revolver,2D397FAC396810DA0DE1A320B59A98B6F97D48E65D5A6B2A3492BD4298840503.html,Handguns,"This is a great find, S 19-5 with a 6"" barrel, Pachmayr grip and great double and single action trigger and showing little or no use. The original bluing is like new, not a scratch on it except a faint turn line on the cylinder. Fires both .357 and .38 special. Bore is excellent, the gun has nice balance and a reputation for accuracy.     Texas DL required - Text 817-798-5505",4794095
0,For Sale/Trade: Witness Full Size 38 Super,"West Suburbs, Cleveland, Ohio",2015,"Sunday, November 15, 2015",450,Manufacturer:    Tanfoglio    Caliber:    38 Super    Action:    Double / Single Action    Firearm Type:    Pistol,2F46FA93F6608F5BC94D559D7D5C3A3770258C27293EF0F066321E3428E8D0A8.html,Handguns,"For sale is a Witness in 38 Super. This is the full size version. The pistol is in very good condition and comes with two mags. I really like this pistol but I need to reduce the number of calibers I have. I would consider trades in 9mm, 45, 308 or 30-06. I prefer a bolt action 308 or 30-06. Can add cash for the right deal.",4839835
0,For Sale: Glock Mags 10 Rounders G22  G23 40sw  357Sig,"Orange County, Orange County, California",2015,"Saturday, November 14, 2015",20,,33E784F9E95D67827F1D99E158D3E535B6F3B6503ED54E52FCEF223C71FB409F.html,Magazines,Los Angeles City/county requires all owners to get rid of high Cap Mags.  Will TRADE you 1=1 10R for high Cap  Will Sell you 10R Glock High Cap with ammo 40sw or 357sig  $20 each loaded  $18 each unloaded,4859639
0,For Sale: RH Desantis Intruder IWB for Glock,"Findlay, Ohio, United States",2015,"Sunday, November 22, 2015",25,,35456892FE65558BEB756C2E05E4F2343C9AA4905B43880971D8863AEDB16343.html,Holsters,"Right hand Desantis Intruder IWB holster that fits Glock models 17, 19, 22, 23, 26, and 27. Not willing to ship, must meet in Findlay, OH.",4883472
0,For Sale: Rock River Arms A4 Varmint AR15,"Okc, Oklahoma City, Oklahoma",2015,"Friday, November 20, 2015","1,400",Manufacturer:    Rock River Arms    Caliber:    223/5.56 NATO    Action:    Semi-automatic    Firearm Type:    Rifle,36E75EB60D2FD8C2B6B0A4CEDD75886582906D901AC59906381ACDD154F2BD90.html,Rifles,"Rock River Arma 5.56 A4 Varmint AR15 with 24"" stainless steel bull barrel with 1:8 twist. Nikon Prostaff 3-9x40 scope. Bipod, Blackhawk grip, bone collector case, steel 10 rnd magazine and steel 30 rnd magazine. Just don't have time to varmint hunt like I thought I would. Shot about 40 rounds through it. I also have 30 rnds of Federal Premium 77 gr. Sierra Matchking BTHP and 20 rnds of Hornady American Whitetail 60 gr SP Interlock.     Great long range varmint gun. Text, email, or call 405-473-588five  NO TRADES",4876095
0,For Sale: Husqvarna Model 255 Rifle,"Burlington, Greensboro, North Carolina",2015,"Friday, November 20, 2015",180,Caliber:    22 Long Rifle    Action:    Single Shot    Firearm Type:    Rifle,381E01FB4B05D44437B612238CFA817A64FA1CB88DB6A811528CEAF995409DE8.html,Rifles,"This is a 22 single shot that shoots great. Bore is very good, outside metal shows its age. Made around 1950. Stamped on the barrel reads, ""Husqvarna Vapenfabriks A.B. Sakrat - Avsett for 22 Long Rifle.""     Adjustable rear sight, stamped behind sight are settings of 20 - 50 - 100 - 200. Steel butt plate, factory sling swivels, Mauser style bolt. Also has a hammer that you can cock and uncock. Comes with carrying case and a box of ammo. Asking $180 OBO. If you're interested, send me a message and I'll get back to you promptly.",4876098
0,For Sale: AK 47,"Middleburg, Jacksonville, Florida",2015,"Sunday, November 15, 2015",600,Manufacturer:    Century International Arms    Caliber:    7.62x39    Action:    Semi-automatic    Firearm Type:    Rifle,3B5DFCC0540546E158A8251D3AC9A75C83ACE3C890E0AA7168C094FAFD2F4C4E.html,Rifles,AK 47 Romanian 1963 comes with 4 steel mags strap and cleaning kit perfect condition very accurate.,4862211
0,For Sale: Rare Israeli captured ammo 7.62x39 and 7.62x45,"North Vernon, Indiana, United States",2015,"Thursday, November 19, 2015",400,,3DB2E654517EB5E9125D249C0A6C7D180B409B91FC2E776B7A62CBA0DB2951C8.html,Ammo,Have some very rare and collectible ammo captured by Israelis. Around 500 rounds of 7.62x39 original Soviet Russian steel core from 1950s and 60s and some Bulgarian and Romanian from 60s and some arabic. Very rare stuff. Also a few 7.62x45 Czech from 50s. Sell all for $400 shipped. 100 rounds for $85 shipped.,4874111
0,"For Sale: us. revolver co. 32, sks w/ extras, marlin 22lr","mandj12342@gmail.com, Atlanta, Georgia",2015,"Sunday, November 15, 2015",,Manufacturer:    Iver Johnson Arms    Caliber:    22 Long Rifle    Firearm Type:    Revolver,3DD7A438077BF010B1DC191C8161DA42DDDDBDAF594D6611FF727AE447C8B77B.html,Handguns,"I have a chinese norinco sks matching numbers with orginal mag,sling,built in cleaning kit, 3 20 round detachable mags two unused tapco mags and one promag and 150 rounds. Asking $400 tor everything. I also have marlin model 75 22lr with 100 rounds and carrying case $150 and a 32 iver johnson 5 shot revolver reblued with 49 rounds $140 all prices are firm prefer to meet near me if interested text me at 404 492 3242",4863040
0,"For Sale: Battle Born, AK-74 5.45x39mm NIB","Reno, Reno, Nevada",2015,"Tuesday, November 17, 2015","1,200",Caliber:    5.45x39mm    Action:    Semi-automatic    Firearm Type:    Rifle,3F88BE2005227E349BFD3579A5BCE8BF2B157886B48DD046D1B06DA57F06BBB9.html,Rifles,"U.S. Firearms, Battle Born, AK-74 NIB with dark wood furniture  Built with Bulgarian Parts, Chrome Line Bore and Gas Cylinder",4867050
0,For Sale: 1997 Ford F250 with Fifth wheel Camper,"Baton Rouge, Baton Rouge, Louisiana",2015,"Wednesday, November 18, 2015","3,400",,460583D6C7FF9C9FEEDBEEB7CA93951D7E5E1E42E8B090AFF7FD780066D362AE.html,Vehicles,"Ford F250 with Fifth wheel Camper included.  It has only 118k miles.I bought it from the original owners,  he was 70 years old and his dad bought it new.  I just put a new A/C compressor dryer and orphis tube.  The interior is in great shape.it hasnt been smoked in for years,no msell or anything,  but the old man did smoke and there are like 3 small burn holes in the drivers seat.  It does not pull one way or the other,it drives great.  brakes are good and tires are about 80%.Runs,drives,shifts and EVERYTHING works.  Truck is in amazing condition.You have to see to believe.  I know these trucks are VERY hard to find.I searched for two months before finding this one.  This truck has been maintenced very well and is ready to go anywhere.  Clean carfax and title in hand!",4870569
0,For Sale: Taurus 9mm PT111 Millennium G2 LNIB,"South Austin, Austin, Texas",2015,"Monday, November 16, 2015",350,Manufacturer:    Taurus    Caliber:    9mm Luger    Firearm Type:    Pistol,484B373DEFEDD668AF8B6E66DDBD141B81960D013BB67F99CBB1A00C7314D91D.html,Handguns,"Taurus 9mm PT111 Milennium G2 LNIB. Bought this in July. Fired two boxes of ammo through it with no problems.    Has external safety and a rail for flashlights or lasers. Comes in Taurus box with four 12 round mags, owners manual, and two special keys to adjust sight and lock the slide and trigger in place. Sorry, only interested in selling it. Not interested in any trades.",4865737
0,For Sale: Nikon Buckmasters II 4-12x40 BDC,"Northwest Reno, Reno, Nevada",2015,"Sunday, November 15, 2015",100,,4931AEDF530B09624FA27C34F7D5789150FA1F1DE0E253C4485FA5F1B03F24B8.html,Optics,"Nikon Buckmasters II 4-12x40 BDC , like new, paid $150. Bought it for deer season and never ended up hunting.     http://www.midwayusa.com/product/486718/nikon-buckmasters-ii-rifle-scope-1-tube-4-12x40mm-bdc-reticle-matte",4861950
0,For Sale: LNIB HK VP9,"Livonia, Detroit, Michigan",2015,"Wednesday, November 18, 2015",525,Manufacturer:    Heckler  Koch    Caliber:    9mm Luger    Action:    Striker Fire    Firearm Type:    Pistol,537ABE32B471CEBDAF9D8D08E6C3FFA453A538D971FBDDF2CF66184E12E84EC0.html,Handguns,LNIB HK VP9  ORIGINAL SIGHTS  2 15 RD MAGS  BLACKHAWK SERPA OWB HOLSTER  100 RDS 9mm,4870969
0,For Sale: Glock 19,"Plainfield, Indianapolis, Indiana",2015,"Wednesday, November 18, 2015",450,Manufacturer:    Glock    Action:    Striker Fire    Firearm Type:    Pistol,57EAE744B273D077EA0B83F5F51BA8C57902FE92D2B2B7839A5AAB144015D013.html,Handguns,"Generation 4 Glock 19. Had less than a year. It is like new. Shot around 500 rounds and it has never misfired or jammed. Comes with case, 3 magazines and extra grips.",4871546
0,For Trade: Beretta p9000s 9mm,"St. Louis, St. Louis, Missouri",2015,"Thursday, November 19, 2015",,Manufacturer:    Beretta USA    Caliber:    9mm Luger    Firearm Type:    Pistol,58683E3B0B6106BD86C7920792A327D4A326ED0AB265C91EE06F4B663610C5EC.html,Handguns,Like new beretta p9000sin 9mm. Da/sa pistol. Accepts standard 92fs mags. Great carry piece. Open to trades for Glock 42 or 43. Will consider other handguns as well.,4874581
0,For Sale/Trade: 870 WingMaster 12ga Slug Gun w/ Scope - Ready to Hunt,"Washington, Peoria, Illinois",2015,"Wednesday, November 18, 2015",250,Manufacturer:    Remington    Caliber:    12 Gauge    Action:    Pump Action    Firearm Type:    Shotgun,5DAC8E55E882DFE6FD853EADF97EDB7D24E0C1B8AEB9592610C9A2FBE572038E.html,Shotguns,"12ga Wingmaster with cantilever slug barrel (cylinder bore), mounted Tasco 3-9x40 scope and new sling.    Ready to Hunt this week! Backup gun zeroed annually. Range Accurate to 200 yards with Foster slugs.    Condition: Fair - handling & field marks",4870078
0,For Sale: Once Fired Brass. 7mm-08 / .257 Roberts,"Stroudsburg, East Stroudsburg, Pennsylvania",2015,"Monday, November 16, 2015",25,,5DF4C8CF43315984228B89228C4F81D2EDAE5F1A38395F8B6B635F19831F337C.html,Reloading,79 pieces of 7mm-08. 60 Federal Headstamp. 19 Hornady Headstamp.  $20 FTF in Stroudsburg area or $25 shipped.    20 pieces of .257 Roberts. All Remington Headstamp.  $8 FTF in Stroudsburg area or $10 shipped    Boxes and plastic sheaths included.    Take it all for $25 FTF or $30 shipped.,4864277
0,For Sale: TriStar C-100 .40SW Blue Finish With Night Sights,"Denton County, Dallas, Texas",2015,"Thursday, November 19, 2015",511,Manufacturer:    TriStar    Caliber:    40 SW    Action:    Double / Single Action    Firearm Type:    Pistol,5F0B30824450732D0021591F832D3D886ED86B6910769127A9742A6AC16CCAF7.html,Handguns,"Tristar C-100 .40 S all-steel Semi-automatic Pistol, single and double action blued metal finish. The pistol comes with two 11-round magazines, a hard plastic case, a gun lock and a cleaning kit.    Upgrades include set of night sights ( fixed blade front sight and a snag-free dovetail rear sight), a pair of checkered LOK grips and an extra 10-round flush magazine. ONLY SELLING THE FIREARM TO INDIVIDUALS WITH VALID TEXAS DRIVERS LICENSE AND WHO COULD SIGN A FIREARM BILL OF SALE.",4873478
0,For Sale: SKB-Ithaca 885 O/U 12 Ga,"illinois, Illinois, United States",2015,"Friday, November 13, 2015","1,800",Caliber:    12 Gauge    Action:    Over and Under    Firearm Type:    Shotgun,6066BDC30C30C684161626958D03A3919677046FC24B713592EF63F96FCE7996.html,Shotguns,"SKB-Ithaca 885 O/U 12 Ga is in excellent used condition. With two Extended Skeet Chokes installed, plus 7 more. rifle has never used and its in super great condition",4857984
0,For Sale: Norinco NDM 86 Dragunov,"Manchester, New Hampshire, United States",2015,"Wednesday, November 18, 2015","4,525",Manufacturer:    Norinco    Caliber:    7.62x54R    Action:    Semi-automatic    Firearm Type:    Rifle,62CA38CB93C098096A40587A75DDCBB179ABD76BDD33868DBE02F793433335D1.html,Rifles,"Norinco NDM 86 Dragunov 7.62x54R ,lightly used NDM86 this gun has had very little rounds through it.",4871083
0,For Sale: New GLOCK 42 380acp + 100rds ammo for $395!,"Enid, Oklahoma City, Hennessey, Kingfisher, Northwest, OK, Oklahoma",2015,"Friday, November 20, 2015",395,Manufacturer:    Glock    Caliber:    380 ACP    Action:    Single Action    Firearm Type:    Pistol,649696E299D2115A664CA3424C9FFD2008BD5CCA66B21790BE24D5266951D6C2.html,Handguns,"BLACK FRIDAY SPECIALS AT Your North Oklahoma Gun Store, BRECKINRIDGE ARMS  SUPPLY!  GLOCK 42 + 100 RDS FOR $395   CASH.   This is just one of many eye popping sale specials! Please visit our web Page for all Specials. WE AIM TO PLEASE!    www.breckinridgearms.com",4876054
0,For Sale/Trade: AR-15 Battle born,"Olathe, Kansas, United States",2015,"Saturday, November 14, 2015","2,000",Manufacturer:    Armory Dynamics    Caliber:    223/5.56 NATO    Action:    Semi-automatic    Firearm Type:    Rifle,64A36538749B8DEA29BA5A0F95771540F3C4EBF62CD2F02E0707802793915D15.html,Rifles,"I have for sale or trade a really nice platform, complete lower, upper all battle born of you don't know very much about battle born u can look it up online battle born made be u.s firearms academy, also has punisher logo oversized pins, punisher trigger guard, punisher piston cover, phase5tactical bad lever, EZ 24"" chrome flute barrel customize by a professional gunsmith, .155 non rotate pins, Ambi safe switch, Ambi nickle plated axts charging handle, chrome axts bolt carrier, Luther sniper stock, sniper pistol grip, punisher dust cover, UTG heavy duty bipod, tactical light, tactical laser, I can probably put some optics for the right deal this was my competition rifle, my best shot was 995 yards, can send more pics for some reason I can only post one. Please no bullshit offers please just look how much just the upper cost on this battle born rifles, priced is been reduced only shot about 300 rds only used it for competition.",4861414
0,For Sale: Weaver Kaspa Tactical 3-12x44 Mil Dot Illuminated Mil Dot,"north east, Wichita, Kansas",2015,"Saturday, November 14, 2015",125,,68BDBEB807E382C4EF47858194CF7E3C4A84036B9F71F1DBA5714C8180E2928B.html,Optics,Weaver Kaspa Tactical 3-12x44 Mil Dot Illuminated Reticle  Currently mounted on Remington 700 in 300 Blackout.  $125 for scope and Warne rings,4859199
0,For Sale: 204 RUGER AR-15 COMPLETE UPPER WITH AMMO!,"10623 N MAY AVE, Oklahoma City, Oklahoma",2015,"Thursday, November 19, 2015",599,,6EFE2D8156F44C0A0684F239594F6FA1E49214F82B59F76DC02FCB4A09EF14C4.html,Gun Parts,"THIS IS A USED EXCELLENT CONDITION COMPLETE UPPER ASSEMBLY FOR AN AR-15. 204 RUGER CALIBER SHILEN 22INCH BARREL, CARBON FIBER FREE FLOAT HANDGUARD, BCG AND CHARING HANDLE. INCLUDES 188 ROUNDS OF AMMO!",4713959
0,For Sale: HK P30 long slide 9mm,"Asheville, Asheville, North Carolina",2015,"Tuesday, November 17, 2015",800,Manufacturer:    Heckler  Koch    Caliber:    9mm Luger    Action:    Double / Single Action    Firearm Type:    Pistol,7136CFA91AA38BD4F45A1E260E97DFF64081C3F23DAEDBA3454A44FA922E6C13.html,Handguns,Never fired HK P30 long slide. 9x19. Factory box and equipment. 2 15 round HK magazines.,4869107
0,"For Sale: 1000 rds Speer Gold Dot GDHP 9mm 124 gr standard pressure, LEO black box ammunition","Eureka, St. Louis, Missouri",2015,"Tuesday, November 17, 2015",400,,7CD65CD0172D6990B77640F4044A2E91B19AB374042536092F70FB05167CB141.html,Ammo,"1000 rds Speer Gold Dot GDHP 9mm 124 gr standard pressure, LEO black box ammunition. Very hard to find premium self-defense ammo.    $400 for 1000 rds   $220 for 500 rds  $75 for 150 rds (minimum purchase)    -Quality .308 ammunition and Chris Reeve trades considered  -Price is firm  -Not taking offers on this  -Face to Face transaction in Eureka, MO  - If you see the ad, it is still for sale",4867148
0,For Sale/Trade: Winchester 94 XTR 30-30,"Grafton, Cleveland, Ohio",2015,"Friday, November 20, 2015",600,Manufacturer:    Winchester    Caliber:    30-30 Winchester    Action:    Lever Action    Firearm Type:    Rifle,7D02967D6CBBF49BD35C176F2387FD9582141A69CCC44F0BB6D3A25855D85AB5.html,Rifles,1981 Winchester 94 XTR 30-30  Unfired in excellent condition  Box and paperwork (box is in o.k. shape)    $600 obo    Trades welcome,4877364
0,For Sale: Benelli M2 Real Tree APG,"ohio, Ohio, United States",2015,"Friday, November 20, 2015","1,150",Manufacturer:    Benelli    Firearm Type:    Shotgun,8131DF4189A4871A166F3F772B6548657F682DC4BB55D68C2F2F34DFA9C5D5C6.html,Shotguns,"The M2 Field shotgun is light, ruggedly built, and fast handling. It is the backbone of the Benelli semi-auto line that cycles everything from target loads to the heaviest 3-inch magnums. Ultra-reliable Inertia Driven® system ComforTech® recoil reduction system 12- and 20-gauge Crio® barrel and choke tubes Left hand configurations Compact configurations Lightweight and well balanced...",4877402
0,For Sale: Browning 1895 High Grade 30-06,"East, Bend, Oregon",2015,"Monday, November 16, 2015","1,999",Manufacturer:    Browning    Caliber:    30-06 Springfield    Action:    Lever Action    Firearm Type:    Rifle,819226D9B7A89331E5353EEA18303702ED3816D073E242F2B1C395CD463B73AB.html,Rifles,Listed is a Browning 1895 High Grade lever action 30-06 rifle. NIB! Please contact Jeff @ 541330585six if you have questions. Asking $1999.00 OBO.. Thank You,4866326
0,For Sale: Colt First Edition Government Model Stainless .380 #117 of 1000,"Rileyville Va, Harrisonburg, Virginia",2015,"Monday, November 16, 2015","1,200",Manufacturer:    Colt    Caliber:    380 ACP    Action:    Double / Single Action    Firearm Type:    Pistol,828B24D7D7443C63DAC3F9A264AC310B8EFC8B6D9F5BDAD44F1DD8500672AB22.html,Handguns,"Here is my 1989 Colt first edition stainless government model .380 with wood case and paperwork. It is not an unfired new in box piece, it's used, but not much. I bought this from and older gentleman that bought it for a carry gun. So it hasn't been in the case it's entire life. It comes with the ankle holster he used, two extra Colt mags(black), and 971 rounds of ammo.  Only 1000 were made in 1989, this is #117.    I have a few more pictures that I'd be glad to email or text to you.  PLEASE look at the maps or your GPS to see where Rileyville Va is. Everyone that has purchased guns from me on this site has driven HOURS to get here, if your not willing to do that, please do not reply. I'm not shipping this.  It could use a good polish, and the rear site has a chip on the right corner. If this doesn't sell right away, I'll order a new site and install it. The display box isn't perfect either.",4865435
0,For Sale: SW 66 4 No Dash Pre Lock,"Inner Loop, Houston, Texas",2015,"Saturday, November 14, 2015",750,Manufacturer:    Smith  Wesson    Caliber:    357 Magnum    Action:    Double / Single Action    Firearm Type:    Revolver,836E04253041E6E47C8EBFEBA30993AE60CF21F3B6932BAACA998F1D1044C24A.html,Handguns,"Great Condition Revolver for sale, fantastic trigger, tight lock-up. Definitely one of the most desirable S K Frame Models.",4860242
0,For Sale: Mossberg 500 20ga and Stevens Double Barrel 20ga,"Downtown Tulsa, Tulsa, Oklahoma",2015,"Friday, November 20, 2015",300,Manufacturer:    Mossberg    Caliber:    20 Gauge    Action:    Pump Action    Firearm Type:    Shotgun,83F148940198967AB124B3EBF7F7D0B6689123F9C34A81AA12E312E8E18E701D.html,Shotguns,"Mossberg 500c 20ga in good shooting condition, few scuffs and scratches $300obo   Stevens Double Barrel SxS 20ga made in USA, good shooting condition $350.  9186197928 text is preferred FTF.",4876083
0,For Sale: Glock 19 nickel boron slide,"Wilmington, Wilmington, North Carolina",2015,"Friday, November 20, 2015",500,Manufacturer:    Glock    Caliber:    9mm Luger    Firearm Type:    Pistol,87026D20146E03677E7165F050DDF1CF2DA7D0A299F810154DDE19FB858BF701.html,Handguns,Beautiful Glock 19 2/ Nickel boron slide  Less then a thousand rounds thru and cleaned immediately after firing     Comes with 2 magazines both hold 15 rounds. Case and holster also included.    Text me for more pictures/ info     James 732 865 6057,4877662
0,For Sale: 4th Gen Glock 26,"Elk River, Minneapolis / St. Paul, Minnesota",2015,"Thursday, November 19, 2015",480,Manufacturer:    Glock    Caliber:    9mm Luger    Action:    Striker Fire    Firearm Type:    Pistol,871559DC9B21418E14EA5837B9AACCED559A4752C378A4E28D28FC9C8B997B9C.html,Handguns,"4th gen Glock 26, less then 100 rounds through it. Includes Black Hawk Holster and Federal Hollow Points. Must have Permit to Purchase. 480 OBO",4873347
