rowNumber,001236,Kansas1324,Expires1091,001298,001068,991062,001267,file_name,2701270,Listings1232,Description1191,Send0933,Citori1239,Copyright1423,0003,set1328,Kansas1294,Boots1331,Reduced1301,Kansas1264
0,M. YAUCH TEN COMMANDMENTS (German version),400,66,Australia Ten Shillings,Salin,60,Mark ten cartridges,3DA672766B855E954CF810DA011F3A3DA6FF2276068E2C39DEA1AC988906DC24.html,Great Bend,30,,baddestbtch,Hays,2015,Ten comandments 1883c,antique ten gauge,65,Larned,Hays,15.00
0,15 Stainless Steel Pipe Shelf/Pot Rack,200,103,***Heavy Stainless Steel Chain  Bracelet***,Victori,15,"EMDEKO 3-ply 18-8, stainless steel small frying pan with lid",3E0A46D11E5638C7A1AA774ACAE63D771476EC3D7AF20B7A276A30687EDAE33B.html,Plainville,0,Have this nice Stainless Steel Heavy. Its 8qt would be good for canning or soup pot.,POJO,"Arriba, Colorado                 $20.00   EMDEKO 3-ply 18-8, stainless steel small frying pan with lid   Plainville",2015,Stock Pot/Stainless Steel Pan 8Qt,Luverne stainless steel bull bar,150,Great Bend,Hays,20.00
0,Bass guitar,8,201,Guitar/Bass/Music Lessons!,Salin,75,Bass guitar,488A033BE79F177610E14EF4F7F70CC34BD2121C9A3F229374FDD3434C6298D4.html,Great Bend,150,"Selling a Rogue 4 string elec. bass. Nothing wrong with it, just dont have the time or interest for a bass. Solid, straight neck, few light scratches and such from play, holds a tune though the strings on it currently are pretty aged. Asking $100, will consider all possible offers.  Call or text 785-215-4933 with any questions or offers.",messiahbolical,Salin,2015,Rogue electric bass,top water bass lures,10,Ellis,Hays,80.00
0,John Deere GX255,750,140,John Deere X320,3160 US Hwy 24   Ellsworth,"3,250",John Deere X300,49025DD2A3EF94AC5F1A1D8DC96086900555175D6733F07C8133C4EB31A83E4E.html,Ellsworth,"2,995","2012 John Deere X310 with 42 Deck and bagger, Power Steering, Power Deck Lift, Hydro Transmission, 18.5 HP Kawasaki Engine, 100 Hrs, still has Factory Warranty until June 2016  Call Dan with any Questions at 785-569-7134  FALL SPECIAL:  Mention you saw this ad on Nextech and get a 10% Discount!",Carrico Implement (EllsworthCarrico),Ellsworth,2015,John Deere X310,John Deere 175 Hydro Mower,"3,500",Hill City,Ellsworth,"2,250.00"
0,camp stove propane type,135,27,WEDGEWOOD VISION RV STOVE FOR CAMPING TRAILER,1702 Yocemento Ave.   Hays,25,Camp stove and Heater - Propane,4A9C8FADB54A3C9566B9F9D9EB00468A9513D980A20185B207071CF8B510B839.html,Colby,20,,aschneid,Great Bend,2015,Camping Stove,Wilderness Skills Camp 2015,395,Randolph,WaKeeney,50.00
0,Samsung Galaxy Note 2 Cases,200,186,Broken Samsung galaxy s4,Radium,10,Samsung Galaxy S4,4F71836C9613746C69A90B63878FC52AEA998234F628E7EFC046EC0C48B9AB37.html,Larned,20,,Gray75,Kensington,2015,Samsung Galaxy S4 Active case,White Samsung Galaxy S4 16g,100,Plainville,Russell,200.00
0,Appliances,15,111,Appliance Repair,510 north front street   Russell,0,Appliance dollie,52E659B3ADABDE6CA03BC672DE6C269F3CC87CC212B8F5985FD3B90DD92D82D0.html,Great Bend,0,"May tag upright freezer. May tag dryer. Whirlpool front loader. Admiral refrigerator side by side. Will be selling at Twisted Sister Estate Sale. Estate of Lois and Kent Lapham. Wed. Sept 30. 9am-6pm and Sat Oct. 3 8am-3pm. 510 front street. Russell, Kansas. For more items selling check us out under estate sales. Not an auction. Everything will be priced and ready to sell by wed. Morning. For more information or flyer contact Linda twistedsistersest@gmail.com",TWISTED SISTER ESTATE SALEs (Linda1),Natom,2015,Appliances,2 11foot appliance straps,15,Belleville,Hays,15.00
0,2013 Yamaha Grizzly 550 EPS ATV,"6,484",154,2012 Yamaha Grizzly 700 EPS 4x4,Pratt,"3,600",2009 Yamaha Grizzly 450 4x4 ATV,566DA3DEA1A4C4F6A91541631146F0F73419C5F34C87792D2EB4FCC4B92DB88D.html,,"5,998","***NEW TIRES*** Hunter Camo. Electric start. Push button select: 2WD, 4WD, or diff lock. Independent suspension. Digital instrument display. Plastic and seat in great shape. Very clean. 11,647 miles. Very recent top end overhaul. Very well maintained.",SJPratt,,2015,2012 Yamaha Grizzly 550 ATV 4x4,2013 Yamaha Grizzly 700 EPS ATV,"6,773",,,"3,257.00"
0,Small saddle,0,45,Goats/Kid,Great Bend,250,NRS Competitor Series saddle,596BEBF866FE6C0C697CCA5C51B268F2158E4A96ABB7D7C5FBC6EB67EC1C7721.html,"Broken Bow, Nebraska                 $175.00   Goats/Kid   Natom",145,,joejoe1023,Hays,2015,Kids saddle,Kid Toys,175,Hays,Natom,"1,500.00"
0,COACH PURSE,10,46,Size 6 shoes set of 3!,p o box 185   Hays,5,Small purse,5FB6AA7B7D2B26E542543D0F64B840FE627A3DDA44E3F41A465CD9CD559B12BE.html,Hays,100,Bought this in Colorado Springs/ never used it   pick up in Hays only txt Rachel at 785-259-5011 thank u!,Rtrendel,Hays,2015,Gate Belt,Adidas bookbag,6,Hays,Hays,0.00
0,Cool Retro School Desk,40,189,ANTIQUE SCHOOL DESK  CHAIR,Great Bend,35,Antique school desk,5FB915ED6AD335B5DBD2522857536F3870B2E4A4AA0E030948EC55282E0CC7A8.html,Zurich,25,this is wood and wrought iron very nice and old,dmhejny,Bazine,2015,antique school desk,Antique School desk,30,Luray,Hays,25.00
0,1975 Honda XL 250,"20,500",56,200es Honda big red engine,Great Bend,700,Honda motor,602374E6E6FA54A119939155C496278F380D26D02CBB71F009F6C2E9DF4D530B.html,Ingalls,"1,400",Honda 250 xtr for sell need to pay bills make me a offer text me me or call 6206392379,Bigdaddy2210,Concordi,2015,Honda xtr 250,2005 F-250 Powerstroke,0,Oberlin,Victori,0.00
0,VERIZON WIRELESS CELL PHONE,60,22,iPhone 5C,111 E Kansas   McPherson,,I-Style cover for i phone 5,60B7CE605E0BFDE7B4E3048A4702BE6682EB5C6D03E599456FFB5E3DA0741DD4.html,Great Bend,50,"For sale, a Like new I Phone 5c blue in color. 16gb comes with a charge cord. No scratches or dents",Waded27,Victori,2015,Verizon I phone 5c,I phones,180,Goodland,Hays,4.00 each
0,Mr Pickup Rear Chrome bumper,225,305,Chrome semi truck tag mount,Great Bend,20,09-14 1500 CHROME REAR STEP BUMPER DODGE Ram pickup TRUCK,657452C7EF3C7BD23A040BE558A54F11921C8D64F8D17F00C6B78970C407369B.html,"Saint Peters, Missouri                 $50.00 each   Chrome semi truck tag mount   Great Bend",150,"Two chrome bedrails for a truck. Some scratches and rust but in overall good condition. One is missing the mounting bracket one the end but could easily be replaced or installed without it.  Call for questions or to see. Thank you. They are 72"" long for most standard size truckbeds.",ESPChevy,Newton,2015,chrome bedrails for pickup truck,Painted and Chrome roll bar,50,Smith Center,Great Bend,350.00 each
0,Infrared Heater,10,165,Char-Broil TRU Infrared Urban Gas Grill w/ one tank,Great Bend,600,NEW AVON LAMP INFRARED,711CF92074A371CAA5BAA0A82186C898006635B39CA17CE67FB89A1D757F40FF.html,Ellsworth,150,"Infrared Sauna by Heat Wave! It looks like a space ship but its really your own personal sauna, just plug it in the wall and go!  Seats 2 comfortably, 3 would probably be a little to close for comfort.  Plugs right into the wall and wont eat up the electric bill!  Comes with everything shown.  You pick up!  No Paypal  Cash only",Macdaniel,Hays,2015,Infrared Saun,1949 Colorado tag,120,Hays,Victori,5.00
0,Springfield XDS Essential,,"2,127",(4) 14 x 5 1/2 Mopar Dodge / Plymouth Rally Wheels,Wilson,450,S-10 4 X 4 Wheels,7329FFFEFCAD9662697A6EB92FEE62DDA0B738D1A5DB1605B2B4C9ACF545945A.html,Salin,549,"Springfield Armory 4-14 X 56 Generation 2  56mm objective lens and a 30mm tube  Fine Duplex Reticle internal level  Condition is excellent, with small ring marks, optics are as new.   Original box  Government Model scope range finding capabilities out to 1000 yards  Rings not included     I have owned scope since 2008 I have decided to go back to 40 mm objective optics to lower the profile of the weapon. I used the scope on a .243.",the_83_truck,Hill City,2015,Springfield 4-14 x 56mm objective Gen 2,Springfield XDM 9mm SS,100,Hays,Olmitz,50.00 per set
0,old porcelain bathroom sink,125,104,BATHROOM SINK,Beloit,10,Bathroom Sink,77F84EFF3B839FA34DD0FCCE908A4AE8BD0F78B62274D15D5C837BC2BCCCE93A.html,Colby,20,I dont see any cracks. Faucet included. Removed during bathroom remodel. Contact me through classifieds for more information. You haul.,gstaten,Stockton,2015,Bathroom Vanity Sink 25W X 22Dee,Oak bathroom vanity,20,Sterling,Ellsworth,25.00
0,1956 Buick Special,,239,1956 Chevy 4 door,Ellsworth,"6,800",Reduced - 1950 Buick Special - NICE CAR!,80EB5023CBAF4B825861113BC22A60B2A0D60BBEDD5886B3D012376255825B18.html,Edmond,"4,000","We have a 1956 Buick Special, 4 door. Motor recently overhauled. New radiator. Runs Good. Body in good condition. Message me for more pictures.",jbeckman,Jetmore,2015,1956 Buick Special *price drop*,**** GUN SAFES **** 12 gun special pricing,"1,500",Colby,Kalvest,"7,800.00"
0,2009 Dodge Ram 2500,"3,700",186,2009 Harley Davidson Ultr,213 horace greeley ave apt 105   Norton,"11,000",2009 30 Belshe Trailer,823EB71B30923D447E3762FEE12F39422002002A2E365B321416FE3FF69DA80B.html,Manhattan,"23,500","2009 HD Soft Tail for sale. Has crash bars, sissy bar, wind deflectors and python exhaust. In excellant condition, new tire on reat and good tire on front. Rides great.",dnorman28,Dodge City,2015,2009 FLSTC for sale,2009 YAMAHA WR250R,"16,000",Ellis,Minneapolis,"12,500.00 each"
0,EBONITE BOWLING BALL  CASE,20,60,5th WHEEL BALL / GOOSENECK,Hays,5,HITCH PINS and BALLS,86A0DACF23C9307ED2C239352318D47CB6078C61B7A7C6E3EFC63898F0F146E0.html,Sylvan Grove,25,"Large Fitness Ball, in great condition. Dont have room for it anymore so needs gone asap.  Would need picked up in Hays, asking $5 for it. Please message if interested, thank you.",DMR,Downs,2015,Large Fitness Ball,Gates hydraulic hose and fittings,395,Larned,Beloit,0.00
0,2008 Honda Shadow Spirit 750 C2,"1,400",228,Honda NX250,900 E 23RD   Hutchinson,"7,500",2008 Honda CRF 450R,8990D372EA7188DF562EBEC67E3006198A8756E4D94711624943142CDA4AE4A8.html,"Danbury, Nebraska                 $1,100.00   Honda NX250   Macksville","4,200","CLEAN TITLE AND MOTORCYCLE, GOOD CONDITION WITH 10,143 MILES",Heartland Credit Union (HCU2015),Abilene,2015,2008 HONDA CBR1000RR8,1975 Honda XL 250,"1,100",Concordi,Macksville,"4,500.00"
0,Original Anime Water Color Art,650,685,Custom Metal Art REDUCED,Russell,650,Metal Sculpture Yard Art,8A5509B97D4D48F4CB5BE7E1E0E43EA893EBE4E59772126A72433FC4C1D185C4.html,Great Bend,5,"Eagle chair .......650.00 Butterfly chair......650.00 Dragonfly chair....650.00. Call 786-658-5207 These are made locally do not message please, mention you seen these on Nextech classifieds. These are in Dorrance Ks. Thanks",Johnson2010,Hays,2015,Metal Art Animal chairs,Metal Art mail boxes,35,Russell,Ellsworth,0.00 each
0,Kerosene Heater,25,212,Vintage heater,Natom,155,Dyna pro glo heater,8A952383A38230C24E1F1FD37D7C1506A34916D7F23DAA9EA33CBCD0A24CF279.html,Ellis,50,"Like New used once Dyna Glo Kerosene 75,000 BTU HR Heater with 2 - 5 Gallon Cans of Kerosene w/ electric forced air  was $185.oo now $155.oo can b seen @ This and That Plainville",flyEAGLE,Larned,2015,Dyna Glo Heater,"KEROSENE HEATER 10,500 BTU Garage/Worksho",0,Dorrance,Oberlin,150.00
0,Aeropostale shirt,5,48,Boys shirts,Grainfield,10,Aeropostale,8A9FDB87D85C8D06939FEEF9726ADEB416E4E21A8E90B75C4A801D4ED2905C8C.html,Hays,8,,Hayleyjo2016,Hays,2015,Aeropostale Shirt,Womens shirt,5,Wilson,Hays,25.00
0,XDS 45 ACP,80,205,Colt Gpvernment model 45 ac,Abilene,25,Sig Sauer P227 Elite .45 ACP,8BD4A999B30686B07559D791E9AFB65064C5F48A4B23D3702D9F40891889D89B.html,Hays,500,,Jhoward394,Oberlin,2015,2 boxes 45 LC 1box of .45 Ac,2 Older box of Western Super X 32 Winchester Special,826,Miltonvale,Andale,"1,350.00"
0,Electric Scooter,995,90,TRIKKE SCOOTER,Miltonvale,250,Fuzion scooter,8C9BB43E79F717AD05094D7B1C98D9AC6B59EFCBD1B6002EA7C3559ABA86E73D.html,Luray,200,"Up for sale is a Zike brand Eliptical scooter. This scooter has no seat, instead to operate the scooter are 2 pedals that use the same movement and feel of an Eliptical exercise machine. Get the benefit of low impact Eliptical exercise without having to remain cooped up inside the gym. Scooter is brand new in box, never used. Message me with any questions or offers. Thanks for viewing.",shawn65930,Quinter,2015,Zike Eliptical Scooter,Pride Scooter,100,Salin,Tribune,20.00
0,Insulated Coveralls,250,12,carhartt insulated coveralls,Russell,150,Coveralls,8ED66F6170061F4387C6CCCFAE4EBB5E5D59E6CAA807CD9580EABFDA4419B341.html,Great Bend,25,,Babygirl83,Grinnell,2015,insulated coveralls fr 2xl,New Carhartt Fire Retardent Coveralls,0,Plainville,Schoenchen,0.00
0,wall mirror,20,191,Antique Wooden Framed Rectangular Wall Mirror,Hays,45,Fancy Oak display Case For Wall Hanging Or Standing,92C603AA469241280286FBE528578AA76A30FDD6FB1788C713143F28DCAD9CB7.html,Beloit,15,Wall mirror.looks reallly good on a wall,ford150,Morland,2015,fancy wall mirror,Fancy knife,40,Hays,Lebanon,35.00
0,2013 Chevrolet Camaro SS,0,"6,014",2002 camaro,Norton,"11,000",Camaro SS programer REDUCED!!!,938BE7C8642BBC3438A65A6BD165AF1494CEC24603C3CE094EC84CFE51D8BF37.html,Goodland,"28,989",,foxracer06,Dodge City,2015,2002 Camaro SS,1995 Chevy Z28 Camaro SS Clone,"4,700",Brewster,Liebenthal,150.00
0,Cherokee Scrubs,2,94,FHSU Nursing scrubs,Colby,5,Small bottom scrubs 5.00,9BF3DE1F878FB389BD8FE3FAF66B31B10B706079AC710C1580EBA878D6772D9D.html,Hays,40,Have scrubs for sale... $5 a set or $2 for just a top or bottom...most are size small have a few that are medium... text or call 785-269-7510 if  interested,tshaw,Hays,2015,Scrubs,Medium scrub tops,20,Hill City,Russell,5.00
0,Ceramic Rooster Pitcher,10,60,PRICE REDUCED - California Raisins Ceramic Figures,401 Elm   Liebenthal,4,glass christmas platter,9D5BF74CEF7438719E7D912B613ECC6F0CE5373A5C6AEC0B7D109195F62755D7.html,Ellsworth,3,No chips. Please e-mail here if interested. Measures 10x10.,Nicky,Liebenthal,2015,Ceramic Christmas Platter,Ceramic Praying Hands,8,Hays,Hays,6.00
0,NEW QUICK-ATTACH 4FT SKID STEER LOADER TRENCHER,"2,200","2,783",NEW DWN Skid steer wire unroller,Hoxie,"8,350",New 27x10.50-15 Skid Steer Tire(2),A0D7CFB8A494CBD8464B4CCFDBEFC9C3824629576E44106E414E7D9D9C1E1FB3.html,Beloit,"5,695","This is a brand new Bainter Boom Trencher. Manufactured right here in the USA in Hoxie, Kansas and has a cutting depth of 3 foot 6 inches. We also have two other sizes as well. With an extension kit this trencher can be made to trench at 4 foot 6 inches. With its patented design,  it's the only trencher on the market that trenches in a forward moving direcition . With the increased  safety  of trenching forward, you will never go through the frustration of trenching in reverse again with a Bainter Boom Trencher. Our Skid Steer attachment trencher will work with any brand of Skid Steer. Please visit our website at www.bainterboomtrenchers.com for more information and demo videos. Remember, once you own a Bainter Boom Trencher, you'll never look back. For more information send email to mark.nelson@bainterboomtrenchers.com","Bainter Boom Trenchers, LLC (Trencher)",Beloit,2015,NEW Bainter Trencher-FORWARD DIGGING Skid Steer Attachement,New McLaren 12x16.5 Steel Over-Tire Skid Steer Tracks--$2200,550,Beloit,Oberlin,100.00 each
0,"78 Ford Pinto parts hood, back hatch glass, and taillights",50,60,1998 Ford Expedition XLT,Sharon Springs,100,1998 Ford Expedition 4x4 leather,A1B839917202DEAD37BD74147FE721F446C48027F6E1917E5B6E59EE80BD01BE.html,Pratt,75,Back hatch glass off of a 1998 Ford Expedition $100 or best offer,lopezms58,Belleville,2015,Back hatch glass 1998 Ford Expedition,84-87 Plymouth Duster back hatch,"2,395",Belleville,Russell,"2,495.00"
0,Columbia 2T Fleece Jacket,10,145,HOLY FAMILY ELEMENTARY FLEECE JACKET YL,not responsible for lost items that are requested to be shipped   Hays,5,Nike Fleece Pullover Womens Jacket-size medium,A21EB346AE5B665582CA1D9FEE989D8BF5DDC996E39240E0C260FE8B566C5CF8.html,Hays,10,In excellent condition,malind,Hays,2015,fleece jacket in red,Lg.(42-44)No Boundaries Fleece Hooded Grey Jacket,20,Kinsley,Hays,10.00
0,Harley Davidson Ultra Classic,40,69,HARLEY DAVIDSON REACH SEAT (08 ULTRA CLASSIC),P.o. Box 44   Ford,50,Kuryakyn Hypercharger blood grooves air cleaner (Harley),A32DA4F5A804118E220A39EC4E86DD0891A6DB9345B1442AE69B23CDC1BABE0C.html,Pratt,"12,200",,lannystuff,Osborne,2015,Stock Harley mufflers,Exhaust Muffler,75,Hays,Scott City,80.00
0,Couch,200,34,PRICE REDUCED - Couch/Sof,Hays,540,3 piece sectional couch,A7A11A172E902C24F5E3B0DC8BD755585F97B4E4211600A963D2E5A0E80E91E3.html,La Crosse,55,,mrsjmeagher,Victori,2015,Sectional couch,Couch,175,Russell,Hays,550.00
0,Receiver Hitch,5,12,multiple receiving blankets,"Moscow Street, Munjor/Hays   Hays",150,receiver hitch,A8F4A80EC7609F5415ADFC63AEE92A32059F8733F47229E6C5C887FE6DC968B4.html,Raymond,10,"It is the complete setup. The Sirius SP-B1a sportster docking station with remote, SPR 2 receiver, and the SP-C2 auto docking station. If you are a sportster and want the game broadcast wherever this is the unit to have. I powered it up in both docking stations and everything seems to be in good working order",skorky67,Goodland,2015,Sirius SP-B1a sportster SPR2; receiver,Thick receiving blanket,2,Hays,Hays,50.00 each
